# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy
390 0.208725 -0.947088
400 1.02651 -0.908315
410 1.25976 -0.795122
420 1.36513 -0.762899
430 1.42172 -0.732686
440 1.46693 -0.704702
450 1.44526 -0.669476
460 1.49813 -0.629408
470 1.45737 -0.595928
480 1.47983 -0.57829
490 1.42776 -0.56695
500 1.45661 -0.568034
510 1.47978 -0.545715
520 1.49974 -0.530923
530 1.46907 -0.516014
540 1.51537 -0.510861
550 1.49925 -0.487901
560 1.52117 -0.481806
570 1.5194 -0.478495
580 1.55312 -0.470344
590 1.53075 -0.4583
600 1.55365 -0.442956
610 1.51811 -0.461594
620 1.51224 -0.44802
630 1.53594 -0.439976
640 1.46166 -0.431674
650 1.49035 -0.423179
660 1.45995 -0.421012
670 1.46057 -0.423393
680 1.47897 -0.414225
690 1.48426 -0.408716
700 1.51545 -0.396018
710 1.53538 -0.39804
720 1.52207 -0.391715
730 1.53511 -0.390069
740 1.53185 -0.394536
750 1.49322 -0.392524
760 1.47464 -0.389847
770 1.43328 -0.380364
780 1.4786 -0.380553
790 1.49766 -0.377504
800 1.4787 -0.378661
810 1.49192 -0.36868
820 1.53394 -0.379203
830 1.50047 -0.367318
840 1.50947 -0.363058
850 1.55687 -0.37078
860 1.47988 -0.36321
870 1.47992 -0.360397
880 1.47212 -0.355105
890 1.51708 -0.348052
900 1.51024 -0.349513
910 1.55163 -0.349309
920 1.52284 -0.341399
930 1.50576 -0.349189
940 1.44186 -0.33796
950 1.48168 -0.337929
960 1.53014 -0.327487
970 1.52394 -0.336699
980 1.47081 -0.324721
990 1.50332 -0.314101
1000 1.48111 -0.317731
1010 1.47363 -0.314372
1020 1.47719 -0.311641
1030 1.52703 -0.311895
1040 1.46583 -0.3098
1050 1.50144 -0.315494
1060 1.52028 -0.310165
1070 1.55675 -0.303585
1080 1.55337 -0.304981
1090 1.54313 -0.309884
1100 1.49766 -0.306089
1110 1.51639 -0.31269
1120 1.52248 -0.319426
1130 1.45521 -0.321668
1140 1.46598 -0.312654
1150 1.46203 -0.312183
1160 1.46862 -0.316408
1170 1.4654 -0.319833
1180 1.48267 -0.311226
1190 1.5266 -0.321827
1200 1.54361 -0.311001
1210 1.52312 -0.307484
1220 1.55019 -0.298747
1230 1.52321 -0.304399
1240 1.53356 -0.298217
1250 1.47813 -0.301999
1260 1.47054 -0.292904
1270 1.48612 -0.294724
1280 1.55019 -0.296823
1290 1.46875 -0.284881
1300 1.4873 -0.292361
1310 1.48696 -0.277536
1320 1.49972 -0.292796
1330 1.51678 -0.291974
1340 1.48038 -0.282078
1350 1.46727 -0.284493
1360 1.42119 -0.284095
1370 1.46637 -0.294078
1380 1.46211 -0.282989
1390 1.53108 -0.285941
1400 1.48595 -0.279371
1410 1.50342 -0.287659
1420 1.48948 -0.289716
1430 1.45794 -0.279834
1440 1.45831 -0.27953
1450 1.45019 -0.27976
1460 1.49803 -0.28245
1470 1.4953 -0.280792
1480 1.4923 -0.274927
1490 1.51502 -0.277035
1500 1.55229 -0.284875
1510 1.49166 -0.278951
1520 1.50212 -0.271921
1530 1.52093 -0.27643
1540 1.50341 -0.278604
1550 1.46559 -0.274602
1560 1.44283 -0.267651
1570 1.50541 -0.281155
1580 1.52531 -0.280515
1590 1.51946 -0.270011
1600 1.48387 -0.264448
1610 1.45178 -0.268099
1620 1.5308 -0.27522
1630 1.48163 -0.269833
1640 1.51301 -0.268487
1650 1.48531 -0.26394
1660 1.5075 -0.266737
1670 1.49318 -0.265114
1680 1.48881 -0.26354
1690 1.46937 -0.261995
1700 1.47601 -0.26785
1710 1.43908 -0.269038
1720 1.52493 -0.261744
1730 1.50229 -0.266868
1740 1.50182 -0.269706
1750 1.46637 -0.26838
1760 1.4714 -0.25649
1770 1.53601 -0.265299
1780 1.52947 -0.267933
1790 1.55189 -0.255226
1800 1.53579 -0.260361
1810 1.52973 -0.25939
1820 1.46854 -0.250811
1830 1.5076 -0.241004
1840 1.49191 -0.259878
1850 1.5173 -0.260127
1860 1.49787 -0.248432
1870 1.46146 -0.25848
1880 1.40245 -0.260359
1890 1.48358 -0.255358
1900 1.49315 -0.253458
1910 1.50742 -0.26077
1920 1.50733 -0.264983
1930 1.53039 -0.263922
1940 1.51485 -0.257554
1950 1.48542 -0.257698
1960 1.41491 -0.257686
1970 1.49186 -0.25821
1980 1.46249 -0.265182
1990 1.51075 -0.268719
2000 1.56418 -0.265344
2010 1.50383 -0.263372
2020 1.47439 -0.257342
2030 1.49684 -0.258442
2040 1.51991 -0.26793
2050 1.55803 -0.265744
2060 1.48371 -0.257205
2070 1.49418 -0.256203
2080 1.48492 -0.259781
2090 1.49824 -0.25303
2100 1.47191 -0.259567
2110 1.51066 -0.258822
2120 1.49373 -0.262371
2130 1.50356 -0.264651
2140 1.47365 -0.260628
2150 1.45436 -0.260779
2160 1.45453 -0.25631
2170 1.46621 -0.260695
2180 1.44766 -0.258635
2190 1.47362 -0.25811
2200 1.49049 -0.260009
2210 1.47372 -0.2552
2220 1.44297 -0.249088
2230 1.45883 -0.250821
2240 1.50663 -0.254355
2250 1.48955 -0.245175
2260 1.48617 -0.247541
2270 1.52102 -0.242649
2280 1.5068 -0.253825
2290 1.54084 -0.259125
2300 1.5399 -0.259167
2310 1.53048 -0.258865
2320 1.49642 -0.254375
2330 1.51761 -0.257001
2340 1.48176 -0.255827
2350 1.47245 -0.253017
2360 1.46425 -0.254751
2370 1.44689 -0.252154
2380 1.46048 -0.255116
2390 1.48203 -0.258218
2400 1.52161 -0.254359
2410 1.51726 -0.250501
2420 1.53138 -0.248114
2430 1.539 -0.248058
2440 1.50831 -0.245188
2450 1.51157 -0.242451
2460 1.5094 -0.236907
2470 1.47486 -0.245998
2480 1.48586 -0.244528
2490 1.49222 -0.245552
2500 1.51366 -0.240256
2510 1.48504 -0.238239
2520 1.5309 -0.237768
2530 1.47153 -0.237763
2540 1.48111 -0.230893
2550 1.52495 -0.239975
2560 1.51407 -0.240014
2570 1.52471 -0.239692
2580 1.52225 -0.246354
2590 1.48396 -0.246563
2600 1.49283 -0.247308
2610 1.48873 -0.245793
2620 1.45671 -0.249344
2630 1.4743 -0.251252
2640 1.49725 -0.245728
2650 1.50187 -0.243436
2660 1.497 -0.247167
2670 1.4716 -0.247232
2680 1.5226 -0.244363
2690 1.52697 -0.239234
2700 1.54306 -0.239289
2710 1.56634 -0.247246
2720 1.50922 -0.241819
2730 1.55671 -0.237433
2740 1.51903 -0.237783
2750 1.51368 -0.237093
2760 1.51094 -0.234907
2770 1.52148 -0.239289
2780 1.53122 -0.244651
2790 1.48415 -0.236963
2800 1.51855 -0.245221
2810 1.53311 -0.243386
2820 1.56644 -0.228484
2830 1.54427 -0.242311
2840 1.50845 -0.234451
2850 1.46967 -0.23172
2860 1.49855 -0.239641
2870 1.46981 -0.237681
2880 1.45056 -0.232004
2890 1.46161 -0.229817
2900 1.47477 -0.238434
2910 1.54864 -0.237602
2920 1.53071 -0.239737
2930 1.53122 -0.240415
2940 1.48795 -0.242983
2950 1.48485 -0.242972
2960 1.51253 -0.227366
2970 1.54722 -0.237064
2980 1.49462 -0.236903
2990 1.51149 -0.234917
3000 1.45812 -0.239464
3010 1.49479 -0.234107
3020 1.5447 -0.239123
3030 1.54458 -0.232206
3040 1.53923 -0.227308
3050 1.51612 -0.225287
3060 1.52201 -0.228523
3070 1.55067 -0.229046
3080 1.52448 -0.230925
3090 1.55867 -0.231275
3100 1.56654 -0.230063
3110 1.49167 -0.228962
3120 1.48358 -0.232023
3130 1.46918 -0.22764
3140 1.54951 -0.226723
3150 1.52465 -0.230749
3160 1.5243 -0.234185
3170 1.53276 -0.230169
3180 1.51834 -0.231834
3190 1.50165 -0.228368
3200 1.52998 -0.240092
3210 1.53142 -0.245144
3220 1.50513 -0.246423
3230 1.51501 -0.243161
3240 1.51269 -0.239736
3250 1.51198 -0.244407
3260 1.47562 -0.235052
3270 1.50219 -0.238394
3280 1.48367 -0.239476
3290 1.4706 -0.238818
3300 1.49074 -0.241208
3310 1.5262 -0.240913
3320 1.49346 -0.241384
3330 1.4447 -0.237298
3340 1.49876 -0.2405
3350 1.48286 -0.234946
3360 1.50142 -0.234317
3370 1.5061 -0.228339
3380 1.51207 -0.240354
3390 1.48234 -0.237296
3400 1.49517 -0.234367
3410 1.46976 -0.228953
3420 1.4629 -0.236892
3430 1.47618 -0.24299
3440 1.50653 -0.24322
3450 1.50248 -0.238758
3460 1.48455 -0.231423
3470 1.52443 -0.2312
3480 1.4986 -0.231756
3490 1.47805 -0.232316
3500 1.47211 -0.240949
3510 1.52804 -0.237862
3520 1.52261 -0.239901
3530 1.56533 -0.245185
3540 1.57819 -0.245209
3550 1.533 -0.234298
3560 1.51553 -0.23468
3570 1.51265 -0.240658
3580 1.45841 -0.236869
3590 1.48441 -0.237591
3600 1.53653 -0.235456
3610 1.55769 -0.240266
3620 1.52418 -0.237698
3630 1.44446 -0.235164
3640 1.56345 -0.242873
3650 1.53082 -0.239095
3660 1.46973 -0.237853
3670 1.48709 -0.243029
3680 1.4542 -0.243197
3690 1.49911 -0.244401
3700 1.49755 -0.240418
3710 1.498 -0.244418
