# Time-averaged data for fix at2
# TimeStep f_mysf1[1] f_mysf2[1]
1000 0.00923169 -0.0314825
2000 -0.034737 0.0561647
3000 0.00624332 -0.0545592
4000 -0.0657768 0.0292298
5000 0.0724207 -0.0137931
6000 0.030015 0.00683504
7000 -0.0342105 0.0207419
8000 -0.00327556 -0.0156667
9000 0.0336472 0.00746749
10000 -0.014729 0.000809972
11000 -0.0671886 -0.0156793
12000 0.11172 -0.0447985
13000 0.020641 0.00927908
14000 -0.0581066 0.0397552
15000 0.0311545 0.0180936
16000 -0.0203956 -0.108645
17000 -0.00958308 0.100899
18000 -0.0571874 0.0323202
19000 0.0669037 -0.0636331
20000 -0.0229131 0.0692
21000 0.044491 -0.102108
22000 -0.0516135 0.0328791
23000 -0.0535812 -0.0048942
24000 0.0357954 0.0611859
25000 0.0102068 -0.0168903
26000 0.0259625 -0.0615629
27000 -0.00854657 0.0526434
28000 0.0234 -0.0154717
29000 -0.00182709 0.0179253
30000 -0.0391669 0.00430651
31000 0.0114894 0.003286
32000 -0.0256246 0.0384049
33000 0.0114566 -0.0684873
34000 0.0548156 -0.0428508
35000 -0.0219909 0.0150303
36000 -0.0295962 -0.00378661
37000 0.0290923 0.0699639
38000 -0.0135526 -0.00119592
39000 0.00491307 -0.0101501
40000 -0.0145524 -0.0463455
41000 0.0226787 0.00316129
42000 -0.0410308 0.0189818
43000 0.0589136 0.0738701
44000 -0.0676883 -0.0353467
45000 0.102725 -0.0536978
46000 -0.0709796 0.0442337
47000 0.0121369 0.00388768
48000 -0.0275277 0.0378194
49000 0.0520113 -0.111491
50000 -0.0518021 0.0823057
51000 0.0408079 -0.0669016
52000 0.0239763 0.0811588
53000 -0.0626226 -0.0469271
54000 0.0436815 -0.0163593
55000 -0.0326754 0.00337216
56000 -0.0112713 0.00828191
57000 0.0273097 0.0430824
58000 -0.0336227 -0.0669783
59000 -6.64415e-05 0.0398254
60000 -0.0293168 -0.0300236
61000 0.0582807 -0.00245737
62000 0.0172124 -0.0162711
63000 -0.0190332 0.0868515
64000 0.0486325 -0.0471567
65000 -0.0149286 0.0313521
66000 -0.0371983 0.00796154
67000 0.0375187 -0.0133122
68000 -0.0146587 0.00580235
69000 -0.0416889 -0.00740982
70000 -0.00787374 -0.0132921
71000 -0.0201951 -0.00565395
72000 0.0401864 -0.0437693
73000 -0.0203099 -0.0116784
74000 -0.0287681 0.0632136
75000 0.0486607 -0.0362445
76000 -0.0523883 -0.0302103
77000 0.023109 0.0625187
78000 0.010829 -0.0226046
79000 0.0130852 0.0575033
80000 0.00704214 0.0147074
81000 0.0103625 -0.0861277
82000 0.00874804 0.00544943
83000 -0.00899568 0.068787
84000 -0.0321571 -0.042999
85000 -0.00185553 -0.0336862
86000 0.0982153 0.00833794
87000 -0.056092 -0.0105004
88000 -0.0742496 0.00595496
89000 -0.0352061 0.00308845
90000 0.0942287 0.0589184
91000 -0.021583 -0.107745
92000 0.00690855 0.0780344
93000 0.0642448 -0.0172234
94000 -0.0654366 0.0586607
95000 0.0449552 -0.0404433
96000 0.0391626 -0.0482514
97000 -0.0547426 0.0260736
98000 -0.0358662 0.0614713
99000 -0.0137649 -0.0559875
100000 0.0411495 -0.0511897
101000 0.0122306 0.00905313
102000 0.00385571 0.0521002
103000 0.0183363 -0.0238912
104000 -0.0165574 -0.0403056
105000 -0.0545359 0.0572214
106000 -0.0706224 -0.0367467
107000 0.0354506 -0.0266187
108000 0.0346102 0.069254
109000 -0.0164158 -0.0219964
110000 0.026114 -0.022294
111000 -0.0131848 0.0264404
112000 0.0168361 0.0173891
113000 0.00245642 -0.0486613
114000 -0.0220049 -0.0197134
115000 0.00856096 0.0575278
116000 0.0160452 -0.0125624
117000 -0.102236 0.0446811
118000 0.0272757 -0.0680247
119000 0.0208999 0.0628769
120000 0.0161975 -0.0211473
121000 0.0278188 -0.00102788
122000 -0.0526804 -0.0111605
123000 -0.0371977 -0.0368134
124000 0.0247694 0.0474665
125000 -0.0212141 -0.0685969
126000 -0.0100569 -0.0161321
127000 -0.00272015 0.158458
128000 -0.0112265 -0.12122
129000 -0.0181744 0.0174229
130000 -0.00731301 -0.0317922
131000 -0.00615383 -0.00156227
132000 0.0063928 0.0210049
133000 0.0923568 0.00782998
134000 -0.0114664 -0.0828224
135000 -0.00582014 0.0931452
136000 -0.012518 0.0110212
137000 0.0157642 -0.0336437
138000 -0.0614787 -0.0266628
139000 0.0148872 0.0454485
140000 -0.0290081 -0.0427673
141000 -0.0475076 0.0106443
142000 0.0404955 -0.0150343
143000 0.00505491 0.0702168
144000 -0.00839599 -0.109159
145000 -0.0597481 0.056923
146000 -0.0219755 0.0293734
147000 0.0314777 -0.0255237
148000 -0.0412447 0.104694
149000 0.00808672 -0.0240018
150000 0.0631776 0.0094064
151000 0.0535454 -0.0640641
152000 -0.129172 -0.0196932
153000 0.0723632 -0.0298947
154000 -0.0534157 0.0160066
155000 0.0796664 -0.0422155
156000 -0.0762467 0.0846488
157000 0.0482748 -0.0983719
158000 -0.0429763 0.0790549
159000 0.014865 -0.060148
160000 -0.156291 -0.0679863
161000 0.130062 0.110392
162000 -0.074343 -0.025415
163000 0.0940029 0.0942645
164000 -0.0697484 -0.0455012
165000 -0.0010928 -0.0170002
166000 -0.029945 0.0159379
167000 0.0247304 -0.0633077
168000 0.0450256 0.0475542
169000 -0.058902 0.0600435
170000 0.0324958 -0.0584896
