# Time-averaged data for fix myat1
# TimeStep f_mysf1[1] f_mysf2[1]
1000 -7.30096 0.795427
2000 -8.90608 -8.27083
3000 -6.16844 8.15407
4000 9.12007 12.9165
5000 -5.08547 4.12792
6000 -6.55493 -2.71466
7000 -8.19983 -0.924239
8000 -1.15511 4.29399
9000 -1.4886 10.4305
10000 -4.18443 -0.334202
11000 -13.0373 4.04201
12000 1.42659 3.26825
13000 -4.27434 6.29528
14000 1.6346 5.52807
15000 1.08572 5.47669
16000 0.721496 -8.12825
17000 -8.73113 8.82661
18000 -7.39308 -5.3468
19000 6.24537 9.08769
20000 2.53944 4.63578
