# Chunk-averaged data for fix myac1 and group gliquid
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vx
20000 80 3668
  1 -39.5 0 0
  2 -38.5 0 0
  3 -37.5 0 0
  4 -36.5 0 0
  5 -35.5 0 0
  6 -34.5 0 0
  7 -33.5 0 0
  8 -32.5 0 0
  9 -31.5 0 0
  10 -30.5 0 0
  11 -29.5 0 0
  12 -28.5 0 0
  13 -27.5 0 0
  14 -26.5 0 0
  15 -25.5 0 0
  16 -24.5 0 0
  17 -23.5 0 0
  18 -22.5 0 0
  19 -21.5 0 0
  20 -20.5 0 0
  21 -19.5 0 0
  22 -18.5 0 0
  23 -17.5 0 0
  24 -16.5 0.650667 3.93948e-06
  25 -15.5 219.232 -0.000216566
  26 -14.5 150.554 -0.000174203
  27 -13.5 47.0253 -0.000200903
  28 -12.5 158.733 -0.000167901
  29 -11.5 114.842 -0.000177027
  30 -10.5 81.6793 -0.00012836
  31 -9.5 112.498 -0.000111186
  32 -8.5 111.903 -9.50828e-05
  33 -7.5 103.701 -8.60298e-05
  34 -6.5 100.839 -4.88409e-05
  35 -5.5 111.71 1.25141e-05
  36 -4.5 103.941 3.81122e-05
  37 -3.5 98.9093 3.77162e-05
  38 -2.5 105.473 4.35844e-05
  39 -1.5 104.923 5.22784e-05
  40 -0.5 108.518 6.02553e-05
  41 0.5 100.65 7.40438e-05
  42 1.5 105.847 0.000133547
  43 2.5 110.738 8.83466e-05
  44 3.5 101.034 0.000116436
  45 4.5 96.2267 9.71405e-05
  46 5.5 115.749 0.000103345
  47 6.5 107.681 0.000105734
  48 7.5 92.304 0.000109316
  49 8.5 114.955 0.000117188
  50 9.5 116.295 0.000113183
  51 10.5 78.604 0.000181921
  52 11.5 110.183 0.000185518
  53 12.5 162.887 0.000206528
  54 13.5 46.324 0.000168597
  55 14.5 141.348 0.000210338
  56 15.5 231.362 0.000194031
  57 16.5 0.679333 2.55533e-05
  58 17.5 0 0
  59 18.5 0 0
  60 19.5 0 0
  61 20.5 0 0
  62 21.5 0 0
  63 22.5 0 0
  64 23.5 0 0
  65 24.5 0 0
  66 25.5 0 0
  67 26.5 0 0
  68 27.5 0 0
  69 28.5 0 0
  70 29.5 0 0
  71 30.5 0 0
  72 31.5 0 0
  73 32.5 0 0
  74 33.5 0 0
  75 34.5 0 0
  76 35.5 0 0
  77 36.5 0 0
  78 37.5 0 0
  79 38.5 0 0
  80 39.5 0 0
