# Time-averaged data for fix myat3
# TimeStep v_myenthalpy
100 -4176.72
200 -4117.21
300 -4051.36
400 -4069.25
500 -4152.84
600 -4367.78
700 -4189.31
800 -4172.68
900 -4054.13
1000 -4002.14
1100 -4179.59
1200 -4280.86
1300 -4297.03
1400 -4276.51
1500 -4250.92
1600 -4287.11
1700 -4262.67
1800 -3911.84
1900 -4079.75
2000 -4172.91
2100 -4092.14
2200 -4254.74
2300 -4188.24
2400 -4208.13
2500 -4191.74
2600 -4311.64
2700 -4268.4
2800 -4010.07
2900 -4001.51
3000 -4094.99
3100 -4147.17
3200 -4077.93
3300 -4263.76
3400 -4246.83
3500 -4092.35
3600 -3991.79
3700 -3964.25
3800 -4068.59
3900 -4054.63
4000 -4079.96
4100 -4130.2
4200 -4079.44
4300 -4214.93
4400 -4093.78
4500 -3923.47
4600 -4255.68
4700 -4193.61
4800 -4086.89
4900 -4068.96
5000 -4136.26
5100 -4201.75
5200 -4181.7
5300 -4244.96
5400 -4207.21
5500 -4224.38
5600 -4221.84
5700 -3926.43
5800 -4107.15
5900 -4205.63
6000 -4189.97
6100 -4144.49
6200 -4139.64
6300 -4000.93
6400 -4168.55
6500 -4066.15
6600 -4202.55
6700 -4142.26
6800 -4297.87
6900 -4175.93
7000 -4171.73
7100 -4133.2
7200 -4310.63
7300 -4336.72
7400 -4056.17
7500 -3915.97
7600 -3963.51
7700 -3930.21
7800 -4101.5
7900 -4004.79
8000 -4040.77
8100 -4243.42
8200 -4208.15
8300 -4392.39
8400 -4240.66
8500 -4250.91
8600 -4152.15
8700 -4055.18
8800 -4125.52
8900 -4215.65
9000 -4385.11
9100 -4227.76
9200 -4261.61
9300 -4142.9
9400 -3713.27
9500 -4086.24
9600 -4120.63
9700 -4150.22
9800 -4206.53
9900 -4255.76
10000 -4162.42
