# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 324.108
200 323.839
300 314.569
400 307.735
500 300.357
600 301.725
700 300.375
800 294.198
900 296.913
1000 308.937
1100 299.529
1200 290.352
1300 291.642
1400 299.232
1500 307.94
1600 304.463
1700 296.611
1800 309.229
1900 298.168
2000 292.401
2100 301.268
2200 301.884
2300 305.187
2400 306.482
2500 303.077
2600 294.433
2700 298.098
2800 304.464
2900 298.77
3000 301.017
3100 304.051
3200 303.872
3300 294.411
3400 286.09
3500 302.083
3600 303.279
3700 303.143
3800 306.33
3900 298.919
4000 297.692
4100 297.432
4200 299.867
4300 299.995
4400 302.327
4500 309.125
4600 304.185
4700 298.704
4800 298.931
4900 301.131
5000 294.255
5100 292.284
5200 308.899
5300 305.152
5400 298.371
5500 295.264
5600 298.827
5700 304.714
5800 311.173
5900 305.411
6000 303.864
6100 297.388
6200 293.717
6300 304.229
6400 303.106
6500 309.1
6600 296.584
6700 297.632
6800 295.94
6900 298.759
7000 303.829
7100 305.574
7200 294.54
7300 290.072
7400 298.388
7500 308.751
7600 307.759
7700 309.712
7800 302.284
7900 293.29
8000 303.308
8100 300.37
8200 295.433
8300 299.413
8400 296.688
8500 293.901
8600 301.15
8700 305.249
8800 306.874
8900 296.449
9000 297.471
9100 296.998
9200 301.135
9300 308.274
9400 317.117
9500 308.474
9600 298.056
9700 298.623
9800 294.235
9900 295.18
10000 302.37
