# Time-averaged data for fix myat2
# TimeStep v_myvol
100 14409.7
200 14335.3
300 14210.9
400 14069.2
500 13945
600 13860.8
700 13784.4
800 13729.1
900 13695.5
1000 13681.7
1100 13702.2
1200 13722.6
1300 13731.7
1400 13736.2
1500 13735.5
1600 13711.5
1700 13673.7
1800 13640.8
1900 13656
2000 13707.6
2100 13768
2200 13838.3
2300 13880.4
2400 13891.7
2500 13877.3
2600 13844.2
2700 13777.8
2800 13703.9
2900 13666
3000 13654.5
3100 13648.9
3200 13637.1
3300 13624.7
3400 13592.8
3500 13542.1
3600 13507.8
3700 13485.8
3800 13462.2
3900 13453.3
4000 13460.2
4100 13475.3
4200 13485
4300 13491.4
4400 13478.6
4500 13457.6
4600 13452.6
4700 13429.3
4800 13386.7
4900 13373
5000 13382.1
5100 13405.2
5200 13431.7
5300 13452
5400 13457
5500 13454.9
5600 13456
5700 13454
5800 13475.7
5900 13506.7
6000 13521.2
6100 13519.1
6200 13522.5
6300 13541.6
6400 13586.4
6500 13635.7
6600 13694.8
6700 13743.5
6800 13788.9
6900 13816.9
7000 13845.9
7100 13852.4
7200 13847.6
7300 13809.4
7400 13742.8
7500 13682.2
7600 13632
7700 13585.8
7800 13561.3
7900 13544
8000 13551.9
8100 13591.8
8200 13630.7
8300 13651.4
8400 13654.3
8500 13651
8600 13650
8700 13649.9
8800 13668.8
8900 13707.3
9000 13724.7
9100 13696.1
9200 13664
9300 13618.8
9400 13580.4
9500 13592
9600 13624.5
9700 13666.9
9800 13719.7
9900 13762.5
10000 13773.6
