# Time-averaged data for fix myat2
# TimeStep v_delta_x
100 12.0996
200 11.5333
300 11.7376
400 11.9772
500 11.4971
600 11.7365
700 11.9098
800 12.1007
900 11.9602
1000 11.5881
1100 11.4022
1200 11.8048
1300 12.4017
1400 12.7459
1500 12.6179
1600 12.4312
1700 12.486
1800 12.5816
1900 12.2419
2000 12.4152
2100 12.4465
2200 12.7323
2300 12.9116
2400 12.386
2500 12.398
2600 12.891
2700 12.5173
2800 12.0576
2900 12.0272
3000 12.1778
3100 12.3727
3200 12.0247
3300 12.2579
3400 12.4116
3500 12.4251
3600 12.5906
3700 13.1678
3800 13.2933
3900 13.3123
4000 13.7003
4100 14.1111
4200 14.1834
4300 14.3157
4400 14.0526
4500 13.1273
4600 12.6703
4700 12.6974
4800 12.5194
4900 12.6238
5000 12.7301
5100 12.9758
5200 13.4363
5300 13.6086
5400 13.6776
5500 14.0914
5600 14.3922
5700 13.9596
5800 13.8449
5900 13.7973
6000 13.7805
6100 13.8033
6200 13.694
6300 13.8632
6400 14.3235
6500 14.6881
6600 14.8278
6700 15.0773
6800 15.1528
6900 15.2452
7000 15.1693
7100 15.6873
7200 15.9034
7300 15.5183
7400 14.9842
7500 14.4529
7600 14.6915
7700 14.6692
7800 14.4269
7900 14.3455
8000 14.4837
8100 14.4557
8200 14.0299
8300 13.4621
8400 13.1314
8500 13.1096
8600 13.1731
8700 13.1059
8800 13.0419
8900 13.062
9000 13.2796
9100 13.5814
9200 13.5519
9300 13.7451
9400 13.9628
9500 14.1458
9600 14.1106
9700 14.1093
9800 13.9187
9900 13.6439
10000 13.8516
10100 14.2834
10200 14.77
10300 15.3018
10400 16.2631
10500 17.6192
10600 19.1441
10700 20.123
10800 20.3672
10900 20.9236
11000 21.3455
11100 21.4754
11200 21.6543
11300 21.995
11400 21.9661
11500 22.0772
11600 22.0959
11700 22.2219
11800 22.4289
11900 22.4637
12000 22.4638
12100 22.3624
12200 22.5608
12300 22.8151
12400 23.1883
12500 23.4476
12600 23.2615
