# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 303.615
200 301.993
300 283.316
400 292.847
500 299.948
600 304.677
700 298.375
800 299.14
900 297.709
1000 293.008
1100 304.107
1200 308.367
1300 302.067
1400 295.344
1500 294.641
1600 303.074
1700 301.392
1800 309.467
1900 316.147
2000 301.891
2100 303.684
2200 298.503
2300 299.255
2400 293.874
2500 299.159
2600 314.265
2700 298.953
2800 300.321
2900 293.509
3000 291.283
3100 302.073
3200 302.616
3300 291.643
3400 299.05
3500 305.925
3600 308.602
3700 303.283
3800 300.269
3900 299.672
4000 295.391
4100 303.238
4200 305.392
4300 309.768
4400 303.016
4500 295.263
4600 298.207
4700 303.471
4800 305.031
4900 307.286
5000 301.478
5100 294.653
5200 296.796
5300 295.155
5400 299.406
5500 301.045
5600 308.703
5700 301.836
5800 297.218
5900 299.11
6000 297.766
6100 298.93
6200 307.613
6300 310.995
6400 293.521
6500 301.17
6600 299.823
6700 299.738
6800 305.597
6900 306.595
7000 305.059
7100 296.353
7200 294.183
7300 298.338
7400 309.818
7500 303.119
7600 297.979
7700 299.847
7800 296.935
7900 300.019
8000 305.498
8100 301.783
8200 296.581
8300 292.189
8400 290.124
8500 304.719
8600 297.741
8700 296.375
8800 299.355
8900 309.468
9000 303.185
9100 297.099
9200 289.75
9300 279.395
9400 289.159
9500 299.459
9600 299.378
9700 295.931
9800 302
9900 307.904
10000 296.676
10100 295.008
10200 289.323
10300 298.375
10400 304.519
10500 304.62
10600 304.042
10700 300.392
10800 298.49
10900 289.172
11000 296.637
11100 299.792
11200 297.344
11300 306.531
11400 302.801
11500 300.131
11600 294.655
11700 298.171
11800 295.309
11900 310.689
12000 305.023
12100 297.185
12200 297.927
12300 300.298
12400 309.97
12500 306.19
12600 307.16
12700 300.272
12800 302.762
12900 293.886
13000 300.495
13100 297.82
13200 288.817
13300 297.307
13400 301.457
13500 297.913
13600 304.804
13700 312.835
13800 306.248
13900 295.272
14000 294.713
14100 299.269
14200 304.933
14300 302.064
14400 300.497
14500 296.195
14600 295.738
14700 298.183
14800 294.555
14900 303.011
15000 307.491
15100 300.045
15200 300.333
15300 294.994
15400 295.068
15500 303.505
15600 307.068
15700 298.517
15800 300.072
15900 293.873
16000 290.371
16100 300.64
16200 311.107
16300 312.332
16400 299.057
16500 301.041
16600 297.639
16700 295.139
16800 302.442
16900 305.923
17000 298.916
17100 296.414
17200 297.991
17300 283.697
17400 297.844
17500 301.722
17600 303.965
17700 298.389
17800 294.575
17900 296.22
18000 297.196
18100 304.299
18200 308.927
18300 305.151
18400 304.487
18500 298.542
18600 297.727
18700 296.851
18800 304.159
18900 306.472
19000 304.54
19100 294.21
19200 292.498
19300 298.026
19400 300.202
19500 295.839
19600 305.557
19700 311.504
19800 302.444
19900 298.888
20000 294.628
20100 302.2
20200 302.828
20300 297.699
20400 317.307
20500 313.426
20600 301.626
20700 296.304
20800 296.903
20900 296.017
21000 308.976
