# Time-averaged data for fix myat3
# TimeStep v_mydensity
100 0.006452
200 0.00663185
300 0.00688048
400 0.00715699
500 0.00746451
600 0.0077996
700 0.00808828
800 0.00834641
900 0.00860363
1000 0.0088967
1100 0.00921322
1200 0.00951422
1300 0.00977785
1400 0.0100435
1500 0.0103062
1600 0.0106207
1700 0.0109289
1800 0.0112476
1900 0.0115946
2000 0.0119515
2100 0.0122795
2200 0.0126024
2300 0.0129809
2400 0.0132948
2500 0.0135736
2600 0.0139807
2700 0.0143222
2800 0.0147075
2900 0.0150572
3000 0.0154214
3100 0.0158021
3200 0.01615
3300 0.0166839
3400 0.0171613
3500 0.0176414
3600 0.0180692
3700 0.0185373
3800 0.0192227
3900 0.0197463
4000 0.0202668
4100 0.0207849
4200 0.021352
4300 0.0217743
4400 0.0223448
4500 0.0229394
4600 0.0235708
4700 0.0240175
4800 0.0244993
4900 0.0250044
5000 0.0253904
5100 0.0255716
5200 0.0258892
5300 0.0264783
5400 0.0271544
5500 0.0277227
5600 0.0280279
5700 0.0284031
5800 0.0286867
5900 0.0292665
6000 0.0298488
6100 0.0303984
6200 0.0308113
6300 0.0311917
6400 0.0314478
6500 0.0315864
6600 0.0319304
6700 0.0321074
6800 0.0321706
6900 0.0320884
7000 0.0321758
7100 0.0323642
7200 0.0324485
7300 0.0327127
7400 0.0330598
7500 0.0330794
7600 0.033115
7700 0.0331348
7800 0.03311
7900 0.0330937
8000 0.0332971
8100 0.0331404
8200 0.0329859
8300 0.0326825
8400 0.0324708
8500 0.0325761
8600 0.0327412
8700 0.0328184
8800 0.0327303
8900 0.0322326
9000 0.0321751
9100 0.0324934
9200 0.0328196
9300 0.0331444
9400 0.033227
9500 0.0330466
9600 0.0328853
9700 0.0329024
9800 0.0328931
9900 0.0332005
10000 0.0331623
10100 0.0332719
10200 0.0337259
10300 0.0339678
10400 0.033621
10500 0.0333605
10600 0.0332264
10700 0.0333195
10800 0.0332585
10900 0.0327809
11000 0.0324084
11100 0.0326344
11200 0.0327532
11300 0.0326854
11400 0.0322991
11500 0.0323823
11600 0.0326913
11700 0.0327895
11800 0.0327058
11900 0.0328043
12000 0.0329011
12100 0.0328814
12200 0.0331802
12300 0.0332762
12400 0.0329441
12500 0.0325953
12600 0.0321445
12700 0.0322576
12800 0.0325166
12900 0.0328195
13000 0.0332484
13100 0.0334301
13200 0.0329138
13300 0.032927
13400 0.0333066
13500 0.0332154
13600 0.0331853
13700 0.0329918
13800 0.0327952
13900 0.0326427
14000 0.0326759
14100 0.0326357
14200 0.0325185
14300 0.0323788
14400 0.0325414
14500 0.0328777
14600 0.0325139
14700 0.0323153
14800 0.0326737
14900 0.0331289
15000 0.0332735
15100 0.0333087
15200 0.0330826
15300 0.0329133
15400 0.0332161
15500 0.0333936
15600 0.0332162
15700 0.0331431
15800 0.0331582
15900 0.0334138
16000 0.0336504
16100 0.0335042
16200 0.0334557
16300 0.0335622
16400 0.0332965
16500 0.0333627
16600 0.0336596
16700 0.0341301
16800 0.0337031
16900 0.0328855
17000 0.0327148
17100 0.033025
17200 0.0332552
17300 0.033292
17400 0.0333934
17500 0.0335153
17600 0.033541
17700 0.0336101
17800 0.0336163
17900 0.0335191
18000 0.0329609
18100 0.0327685
18200 0.033181
18300 0.0334769
18400 0.0334922
18500 0.0337076
18600 0.0338697
18700 0.0336691
18800 0.0334116
18900 0.0333387
19000 0.0331625
19100 0.0331065
19200 0.0332034
19300 0.0331745
19400 0.0330603
19500 0.0332319
19600 0.0332056
19700 0.0330016
19800 0.0329272
19900 0.0328729
20000 0.0331612
20100 0.0332251
20200 0.032818
20300 0.0327137
20400 0.0327681
20500 0.0327847
20600 0.0329383
20700 0.0331458
20800 0.0331284
20900 0.0329166
21000 0.0328829
21100 0.0331527
21200 0.0329731
21300 0.0326973
21400 0.0327115
21500 0.0329848
21600 0.0332367
21700 0.0333232
21800 0.0335655
21900 0.0337853
22000 0.0339271
22100 0.0333201
22200 0.0324625
22300 0.0325223
22400 0.0329529
22500 0.0331768
22600 0.0329595
22700 0.0326311
22800 0.032364
22900 0.0324126
23000 0.0327028
23100 0.0328409
23200 0.0330573
23300 0.0330362
23400 0.0327013
23500 0.0325981
23600 0.0327713
23700 0.0329624
23800 0.0330141
23900 0.0331284
24000 0.0333653
24100 0.0332195
24200 0.0332145
24300 0.0332811
24400 0.0333307
24500 0.0333373
24600 0.0332796
24700 0.033178
24800 0.0330491
24900 0.0328585
25000 0.0332607
