# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 423.928
200 414.544
300 363.295
400 341.593
500 324.657
600 307.615
700 308.93
800 294.827
900 298.879
1000 299.494
1100 301.998
1200 306.067
1300 295.551
1400 298.683
1500 302.14
1600 298.755
1700 297.129
1800 300.925
1900 301.565
2000 300.721
2100 300.311
2200 297.258
2300 295.652
2400 309.574
2500 300.846
2600 297.958
2700 292.886
2800 306.339
2900 298.814
3000 298.478
3100 301.792
3200 296.122
3300 304.988
3400 301.758
3500 299.321
3600 301.385
3700 305.28
3800 303.09
3900 297.925
4000 303.117
4100 297.045
4200 297.818
4300 296.255
4400 299.362
4500 299.691
4600 301.288
4700 312.185
4800 306.515
4900 301.871
5000 296.036
5100 300.447
5200 301.395
5300 304.745
5400 291.252
5500 308.373
5600 297.349
5700 306.797
5800 296.807
5900 301.821
6000 301.892
6100 298.087
6200 293.467
6300 305.288
6400 303.164
6500 291.4
6600 304.389
6700 301.106
6800 294.643
6900 299.618
7000 307.288
7100 301.474
7200 298.501
7300 305.541
7400 309.653
7500 300.746
7600 300.248
7700 293.526
7800 296.984
7900 300.946
8000 297.886
8100 296.392
8200 302.119
8300 300.02
8400 305.827
8500 309.196
8600 306.277
8700 295
8800 303.82
8900 305.236
9000 302.666
9100 298.068
9200 302.094
9300 306.453
9400 300.099
9500 300.984
9600 296.075
9700 305.207
9800 296.998
9900 306.791
10000 299.663
10100 303.008
10200 298.928
10300 304.451
10400 295.044
10500 296.928
10600 302.923
10700 298.893
10800 289.019
10900 296.792
11000 302.204
11100 306.338
11200 294.407
11300 304.939
11400 304.697
11500 306.819
11600 297.083
11700 302.254
11800 301.945
11900 302.078
12000 295.904
12100 288.38
12200 301.607
12300 300.919
12400 288.932
12500 301.911
12600 301.997
12700 307.466
12800 301.661
12900 299.646
13000 294.769
13100 302.617
13200 287.624
13300 296.311
13400 309.359
13500 298.322
13600 303.881
13700 305.793
13800 298.931
13900 298.618
14000 306.73
14100 302.342
14200 301.338
14300 304.024
14400 298.51
14500 310.868
14600 294.99
14700 290.209
14800 290.195
14900 302.034
15000 298.252
15100 291.217
15200 303.742
15300 301.142
15400 297.004
15500 287.981
15600 293.827
15700 300.694
15800 296.662
15900 302.078
16000 300.881
16100 303.399
16200 296.341
16300 292.797
16400 297.871
16500 305.305
16600 297.078
16700 299.626
16800 294.577
16900 300.994
17000 300.397
17100 299.914
17200 298.655
17300 294.359
17400 297.757
17500 305.716
17600 300.094
17700 296.356
17800 289.44
17900 300.709
18000 300.83
18100 293.795
18200 302.482
18300 307.584
18400 295.813
18500 304.922
18600 292.89
18700 299.817
18800 302.758
18900 298.837
19000 296.094
19100 292.913
19200 303.67
19300 296.221
19400 304.564
19500 303.876
19600 293.531
19700 300.488
19800 305.885
19900 306.043
20000 303.265
20100 301.943
20200 286.272
20300 298.182
20400 303.441
20500 294.509
20600 313.232
20700 297.365
20800 298.518
20900 301.667
21000 296.992
21100 297.544
21200 304.929
21300 298.239
21400 295.029
21500 302.824
21600 290.514
21700 295.731
21800 303.855
21900 298.937
22000 298.051
22100 298.612
22200 296.372
22300 301.894
22400 293.155
22500 300.12
22600 306.86
22700 299.314
22800 298.543
22900 304.33
23000 298.695
23100 300.119
23200 302.38
23300 305.536
23400 299.762
23500 296.939
23600 292.524
23700 304.303
23800 293.688
23900 293.704
24000 304.538
24100 299.967
24200 300.981
24300 298.206
24400 301.84
24500 301.567
24600 295.019
24700 302.952
24800 301.19
24900 295.98
25000 312.044
