# Time-averaged data for fix myat2
# TimeStep v_myvol
100 71608.4
200 69670
300 67154.5
400 64561.8
500 61902.2
600 59241.7
700 57125.6
800 55357.1
900 53703
1000 51934.2
1100 50150
1200 48562.9
1300 47252.5
1400 46002.8
1500 44830.1
1600 43504
1700 42275.7
1800 41078.6
1900 39849.7
2000 38658.5
2100 37625.9
2200 36662.1
2300 35592.9
2400 34751.2
2500 34039.2
2600 33047.3
2700 32259.2
2800 31414.6
2900 30684
3000 29960
3100 29237.8
3200 28608.3
3300 27693.8
3400 26922.9
3500 26189.8
3600 25569.5
3700 24924.7
3800 24036.5
3900 23397.9
4000 22797.2
4100 22229.1
4200 21638.1
4300 21218.5
4400 20677.2
4500 20141.1
4600 19601.5
4700 19236.3
4800 18858.5
4900 18477.1
5000 18196.1
5100 18066.9
5200 17845.9
5300 17449.4
5400 17014.6
5500 16665.3
5600 16483.8
5700 16266.1
5800 16105.3
5900 15786.7
6000 15478.4
6100 15198.6
6200 14994.5
6300 14812
6400 14691
6500 14626.6
6600 14469.1
6700 14389.2
6800 14361
6900 14397.8
7000 14358.7
7100 14275.1
7200 14238
7300 14123.2
7400 13974.7
7500 13966.4
7600 13951.4
7700 13943.1
7800 13953.5
7900 13960.4
8000 13875.1
8100 13940.7
8200 14006
8300 14136.2
8400 14228.2
8500 14182.2
8600 14110.7
8700 14077.5
8800 14115.5
8900 14333.6
9000 14359.1
9100 14218.4
9200 14077.1
9300 13939
9400 13904.4
9500 13980.4
9600 14048.8
9700 14041.6
9800 14045.5
9900 13915.6
10000 13931.6
10100 13885.8
10200 13698.8
10300 13601.1
10400 13741.6
10500 13848.8
10600 13904.6
10700 13865.8
10800 13891.3
10900 14094
11000 14255.6
11100 14156.9
11200 14105.5
11300 14134.8
11400 14303.9
11500 14267.3
11600 14132.2
11700 14089.9
11800 14125.9
11900 14083.6
12000 14042.1
12100 14050.5
12200 13924
12300 13883.8
12400 14023.9
12500 14174.1
12600 14372.6
12700 14322.3
12800 14208.2
12900 14077.2
13000 13895.7
13100 13820
13200 14036.8
13300 14031.1
13400 13871.2
13500 13909.2
13600 13921.9
13700 14003.5
13800 14087.6
13900 14153.3
14000 14138.9
14100 14156.3
14200 14207.3
14300 14268.6
14400 14197.6
14500 14052.1
14600 14209.6
14700 14296.7
14800 14140.2
14900 13945.6
15000 13884.9
15100 13870.3
15200 13965.3
15300 14036.9
15400 13909
15500 13835
15600 13909
15700 13939.6
15800 13933.2
15900 13826.7
16000 13729.4
16100 13789.4
16200 13809.3
16300 13765.5
16400 13875.4
16500 13847.8
16600 13726
16700 13536.5
16800 13708.7
16900 14049.2
17000 14122.1
17100 13989.6
17200 13892.6
17300 13877.2
17400 13835.1
17500 13784.7
17600 13774.2
17700 13745.9
17800 13743.4
17900 13783.2
18000 14017.1
18100 14099
18200 13923.8
18300 13800.6
18400 13794.3
18500 13706.2
18600 13640.5
18700 13721.9
18800 13827.6
18900 13857.8
19000 13931.4
19100 13955
19200 13914.3
19300 13926.4
19400 13974.5
19500 13902.4
19600 13913.4
19700 13999.3
19800 14031
19900 14054.2
20000 13932.1
20100 13905.3
20200 14077.7
20300 14122.5
20400 14099.1
20500 14092
20600 14026.2
20700 13938.5
20800 13945.8
20900 14035.5
21000 14049.9
21100 13935.5
21200 14011.5
21300 14129.6
21400 14123.5
21500 14006.6
21600 13900.3
21700 13864.3
21800 13764.2
21900 13674.6
22000 13617.5
22100 13866.3
22200 14232.1
22300 14205.8
22400 14020.2
22500 13925.4
22600 14017.4
22700 14158.4
22800 14275.2
22900 14253.9
23000 14127.2
23100 14067.9
23200 13975.8
23300 13984.8
23400 14127.9
23500 14172.6
23600 14097.8
23700 14016
23800 13994
23900 13945.9
24000 13846.7
24100 13907.6
24200 13909.6
24300 13881.7
24400 13861.1
24500 13858.4
24600 13882.4
24700 13924.9
24800 13979.3
24900 14060.4
25000 13890.3
