# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 1934.73
200 2163.47
300 988.666
400 763.165
500 596.567
600 495.164
700 402.663
800 366.348
900 328.198
1000 332.884
1100 317.194
1200 292.584
1300 321.446
1400 323.575
1500 313.74
1600 316.882
1700 310.782
1800 299.95
1900 303.611
2000 297.358
2100 298.61
2200 304.832
2300 297.072
2400 291.983
2500 297.491
2600 299.247
2700 297.337
2800 301.256
2900 304.694
3000 291.455
3100 299.318
3200 305.627
3300 306.455
3400 307.422
3500 303.953
3600 296.41
3700 309.752
3800 295.946
3900 308.707
4000 299.934
4100 297.555
4200 294.465
4300 297.063
4400 298.134
4500 286.044
4600 299.188
4700 296.451
4800 298.208
4900 300.159
5000 296.883
5100 308.607
5200 301.252
5300 302.124
5400 301.264
5500 285.74
5600 307.801
5700 314.171
5800 301.399
5900 314.451
6000 303.419
6100 305.59
6200 291.911
6300 294.989
6400 290.25
6500 297.33
6600 307.745
6700 298.49
6800 289.749
6900 303.576
7000 298.037
7100 296.666
7200 294.219
7300 297.121
7400 299.966
7500 296.378
7600 293.17
7700 308.331
7800 315.073
7900 299.744
8000 300.875
8100 302.937
8200 296.682
8300 302.68
8400 306.603
8500 296.437
8600 300.005
8700 295.535
8800 301.596
8900 296.123
9000 296.658
9100 302.726
9200 301.078
9300 298.193
9400 293.313
9500 290.028
9600 297.094
9700 304.848
9800 306.548
9900 296.251
10000 304.867
