# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
7000100 -6.93046 -7
7000200 -6.94653 -7
7000300 -6.79536 -7
7000400 -6.85947 -7
7000500 -6.81153 -7
7000600 -6.89828 -7
7000700 -7.25737 -7
7000800 -7.69972 -7
7000900 -7.55934 -7
7001000 -7.2746 -7
7001100 -7.02395 -7
7001200 -7.10537 -7
7001300 -7.29289 -7
7001400 -7.34618 -7
7001500 -7.39232 -7
7001600 -7.37122 -7
7001700 -7.21207 -7
7001800 -7.17986 -7
7001900 -7.0409 -7
7002000 -7.02964 -7
7002100 -7.34011 -7
7002200 -7.2342 -7
7002300 -7.09873 -7
7002400 -7.1969 -7
7002500 -7.18652 -7
7002600 -7.5213 -7
7002700 -7.72061 -7
7002800 -7.52522 -7
7002900 -7.48724 -7
7003000 -7.7939 -7
7003100 -7.71773 -7
7003200 -7.40536 -7
7003300 -7.0989 -7
7003400 -7.10627 -7
7003500 -7.0544 -7
7003600 -6.9574 -7
7003700 -7.12339 -7
7003800 -7.11893 -7
7003900 -7.24205 -7
7004000 -7.20594 -7
7004100 -7.21437 -7
7004200 -7.24896 -7
7004300 -7.52743 -7
7004400 -7.73355 -7
7004500 -7.90346 -7
7004600 -7.5999 -7
7004700 -7.35047 -7
7004800 -7.05774 -7
7004900 -6.82259 -7
7005000 -6.88886 -7
7005100 -6.83458 -7
7005200 -6.98419 -7
7005300 -6.95524 -7
7005400 -7.08051 -7
7005500 -6.88833 -7
7005600 -6.77661 -7
7005700 -6.76282 -7
7005800 -6.54506 -7
7005900 -6.65207 -7
7006000 -6.98953 -7
7006100 -7.33465 -7
7006200 -7.44653 -7
7006300 -7.14174 -7
7006400 -6.91599 -7
7006500 -7.09895 -7
7006600 -6.79974 -7
7006700 -6.72655 -7
7006800 -7.10047 -7
7006900 -7.09146 -7
7007000 -7.05344 -7
7007100 -7.21933 -7
7007200 -7.31074 -7
7007300 -7.30843 -7
7007400 -7.03532 -7
7007500 -7.28723 -7
7007600 -7.48977 -7
7007700 -7.43977 -7
7007800 -7.05855 -7
7007900 -7.00875 -7
7008000 -7.29926 -7
7008100 -7.24322 -7
7008200 -7.04876 -7
7008300 -7.2582 -7
7008400 -7.68811 -7
7008500 -7.59566 -7
7008600 -7.40489 -7
7008700 -7.73758 -7
7008800 -7.88259 -7
