# Time-averaged data for fix myat
# TimeStep v_n_center
50000 2.074
100000 0.126
150000 0.072
200000 0.054
250000 0.14
300000 0.132
350000 0.076
400000 0.044
450000 0.044
500000 0.016
550000 0.024
600000 0.014
650000 0.074
700000 0.096
750000 0.09
800000 0.012
850000 0.078
900000 0.214
950000 0.36
1000000 0.028
1050000 0.122
1100000 0.042
1150000 0.06
1200000 0.03
1250000 0.04
1300000 0.11
1350000 0.116
1400000 0.048
1450000 0.012
1500000 0.036
1550000 0.06
1600000 0.006
1650000 0.072
1700000 0.03
1750000 0.002
1800000 0.038
1850000 0.076
1900000 0.02
1950000 0.016
2000000 0.098
