# Chunk-averaged data for fix myac and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
10000000 50 60
  1 -24.5 1.65549 0.00103468
  2 -23.5 1.63384 0.00102115
  3 -22.5 1.62039 0.00101274
  4 -21.5 1.65575 0.00103484
  5 -20.5 1.69313 0.00105821
  6 -19.5 1.68837 0.00105523
  7 -18.5 1.64837 0.00103023
  8 -17.5 1.66514 0.00104071
  9 -16.5 1.66666 0.00104166
  10 -15.5 1.66502 0.00104064
  11 -14.5 1.62712 0.00101695
  12 -13.5 1.65378 0.00103362
  13 -12.5 1.64717 0.00102948
  14 -11.5 1.59312 0.000995697
  15 -10.5 1.57462 0.000984138
  16 -9.5 1.53625 0.000960156
  17 -8.5 1.46881 0.000918004
  18 -7.5 1.33348 0.000833425
  19 -6.5 1.06858 0.000667864
  20 -5.5 0.455858 0.000284911
  21 -4.5 0.030308 1.89425e-05
  22 -3.5 0.007445 4.65313e-06
  23 -2.5 0.006601 4.12562e-06
  24 -1.5 0.005768 3.605e-06
  25 -0.5 0.006118 3.82375e-06
  26 0.5 0.006713 4.19562e-06
  27 1.5 0.004739 2.96187e-06
  28 2.5 0.005537 3.46063e-06
  29 3.5 0.008061 5.03813e-06
  30 4.5 0.028884 1.80525e-05
  31 5.5 0.420538 0.000262836
  32 6.5 1.00661 0.000629133
  33 7.5 1.25553 0.000784708
  34 8.5 1.33576 0.000834851
  35 9.5 1.42013 0.000887584
  36 10.5 1.46825 0.000917658
  37 11.5 1.49632 0.000935202
  38 12.5 1.5223 0.000951437
  39 13.5 1.54203 0.000963771
  40 14.5 1.55842 0.00097401
  41 15.5 1.60168 0.00100105
  42 16.5 1.63527 0.00102205
  43 17.5 1.66097 0.00103811
  44 18.5 1.64287 0.00102679
  45 19.5 1.61713 0.00101071
  46 20.5 1.60832 0.0010052
  47 21.5 1.6103 0.00100643
  48 22.5 1.61946 0.00101216
  49 23.5 1.6544 0.001034
  50 24.5 1.66257 0.00103911
