# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
15400100 13.8838 14
15400200 13.7176 14
15400300 14.2449 14
15400400 14.2824 14
15400500 13.8607 14
15400600 13.8248 14
15400700 13.6737 14
15400800 13.7551 14
15400900 14.0467 14
15401000 14.0602 14
15401100 14.1655 14
15401200 14.5177 14
15401300 14.7117 14
15401400 14.5209 14
15401500 14.3034 14
15401600 14.0691 14
15401700 14.0884 14
15401800 14.4359 14
15401900 14.18 14
15402000 14.1213 14
15402100 14.0628 14
15402200 13.9114 14
15402300 14.3687 14
15402400 14.5409 14
15402500 14.5073 14
15402600 14.2417 14
15402700 14.1889 14
15402800 14.069 14
15402900 14.0057 14
15403000 13.9824 14
15403100 13.9563 14
15403200 13.961 14
15403300 13.8004 14
15403400 13.7987 14
15403500 13.8996 14
15403600 14.2429 14
15403700 14.363 14
15403800 14.2231 14
15403900 13.7481 14
15404000 13.224 14
15404100 13.2955 14
15404200 13.4199 14
15404300 13.2504 14
15404400 13.259 14
15404500 13.21 14
15404600 13.3661 14
15404700 13.4056 14
15404800 13.4353 14
15404900 13.7672 14
15405000 14.089 14
15405100 14.2172 14
15405200 14.0989 14
15405300 14.114 14
15405400 14.354 14
15405500 14.5006 14
15405600 14.5578 14
15405700 14.7509 14
15405800 14.4581 14
15405900 14.1123 14
15406000 14.1253 14
15406100 14.2226 14
15406200 14.0816 14
15406300 14.1098 14
15406400 14.0391 14
15406500 14.1598 14
15406600 13.7671 14
15406700 13.991 14
15406800 14.2634 14
15406900 14.4524 14
15407000 14.3351 14
15407100 14.3185 14
15407200 14.2799 14
15407300 14.3812 14
15407400 13.8456 14
15407500 13.4586 14
15407600 13.4966 14
15407700 13.6602 14
15407800 13.7826 14
15407900 13.7878 14
15408000 14.2643 14
15408100 14.4997 14
15408200 14.3857 14
15408300 13.994 14
15408400 13.538 14
15408500 13.4208 14
15408600 13.7837 14
15408700 13.6222 14
15408800 13.5092 14
15408900 13.6281 14
15409000 13.6919 14
15409100 13.7037 14
15409200 13.8893 14
15409300 14.4064 14
15409400 14.7536 14
15409500 14.8603 14
15409600 14.793 14
15409700 14.6037 14
15409800 14.4815 14
15409900 14.465 14
15410000 14.4267 14
15410100 14.3521 14
15410200 14.6207 14
15410300 14.8013 14
15410400 14.4372 14
15410500 14.2793 14
15410600 13.8594 14
15410700 13.8103 14
15410800 14.0908 14
15410900 14.0788 14
15411000 13.9536 14
15411100 13.8238 14
15411200 13.9422 14
15411300 13.8613 14
15411400 13.522 14
15411500 13.3031 14
15411600 13.1936 14
15411700 13.5385 14
15411800 13.8628 14
15411900 14.1004 14
15412000 14.1125 14
15412100 14.0778 14
15412200 14.1723 14
15412300 13.9365 14
15412400 13.8343 14
15412500 13.9648 14
15412600 14.1297 14
15412700 14.226 14
15412800 14.0068 14
15412900 13.7213 14
15413000 14.0373 14
15413100 14.2844 14
15413200 14.3511 14
15413300 14.4014 14
15413400 14.2974 14
15413500 13.9275 14
15413600 13.9876 14
15413700 14.2352 14
15413800 14.0791 14
15413900 13.9764 14
15414000 13.8977 14
15414100 13.9247 14
15414200 14.1896 14
15414300 14.1404 14
15414400 13.9889 14
15414500 13.911 14
15414600 14.2435 14
15414700 14.3315 14
15414800 14.3168 14
15414900 14.357 14
15415000 14.4109 14
15415100 14.362 14
15415200 14.2378 14
15415300 14.273 14
15415400 14.4215 14
15415500 14.6171 14
15415600 14.6236 14
15415700 14.4055 14
15415800 14.3383 14
15415900 14.2177 14
15416000 14.1111 14
15416100 14.0332 14
15416200 14.1837 14
15416300 14.2328 14
15416400 14.1096 14
15416500 13.9553 14
15416600 14.0298 14
15416700 14.2521 14
15416800 14.5709 14
15416900 14.3946 14
15417000 14.4487 14
15417100 14.6828 14
15417200 14.8694 14
15417300 15.0123 14
15417400 14.8476 14
15417500 14.6331 14
15417600 14.3315 14
15417700 14.2212 14
15417800 13.9588 14
15417900 13.7392 14
15418000 13.5668 14
15418100 13.7141 14
15418200 13.7714 14
15418300 13.7603 14
15418400 13.98 14
15418500 13.7309 14
15418600 13.5136 14
15418700 13.9114 14
15418800 14.1018 14
15418900 14.0423 14
15419000 13.8766 14
15419100 13.6536 14
15419200 13.8205 14
15419300 13.7232 14
15419400 13.8519 14
15419500 14.068 14
15419600 14.0199 14
15419700 14.0485 14
15419800 14.0454 14
15419900 14.1909 14
15420000 13.8401 14
15420100 13.8816 14
15420200 14.0878 14
15420300 13.6865 14
15420400 13.5321 14
15420500 13.8419 14
15420600 14.2283 14
15420700 14.0567 14
15420800 14.034 14
15420900 14.2896 14
15421000 14.2421 14
15421100 14.3429 14
15421200 14.1463 14
15421300 13.7846 14
15421400 13.708 14
15421500 13.9003 14
15421600 14.0068 14
15421700 13.7596 14
15421800 13.9235 14
15421900 14.3536 14
15422000 14.6991 14
15422100 14.6218 14
15422200 14.61 14
15422300 14.8904 14
15422400 14.8505 14
15422500 14.618 14
15422600 14.618 14
15422700 14.7672 14
15422800 14.8164 14
15422900 14.5284 14
15423000 14.0091 14
15423100 13.9626 14
15423200 14.0885 14
15423300 14.2123 14
15423400 14.0057 14
15423500 14.0438 14
15423600 14.1924 14
15423700 14.3174 14
15423800 14.3653 14
15423900 14.2107 14
15424000 14.2017 14
15424100 14.3493 14
15424200 14.2614 14
15424300 13.9993 14
15424400 14.0868 14
15424500 14.2751 14
15424600 14.4487 14
15424700 14.3806 14
15424800 14.2491 14
15424900 14.1704 14
15425000 14.1232 14
15425100 13.8358 14
15425200 14.0822 14
15425300 14.1286 14
15425400 14.0421 14
15425500 14.3944 14
15425600 14.2602 14
15425700 14.3181 14
15425800 14.4448 14
15425900 14.2641 14
15426000 13.9224 14
15426100 13.5652 14
15426200 13.4707 14
15426300 13.7002 14
15426400 13.8655 14
15426500 13.7248 14
15426600 13.4489 14
15426700 13.6027 14
15426800 13.596 14
15426900 13.5165 14
15427000 13.5824 14
15427100 13.6469 14
15427200 14.0802 14
15427300 14.1708 14
15427400 14.3132 14
15427500 14.1247 14
15427600 13.9244 14
15427700 14.0904 14
15427800 14.1522 14
15427900 14.2275 14
15428000 14.7323 14
15428100 14.8201 14
15428200 14.5075 14
15428300 14.1808 14
15428400 14.1513 14
15428500 14.2272 14
15428600 14.2752 14
15428700 14.2618 14
15428800 14.1137 14
15428900 13.8982 14
15429000 13.7128 14
15429100 13.9515 14
15429200 14.0614 14
15429300 14.5277 14
15429400 14.9336 14
15429500 14.5718 14
15429600 14.2111 14
15429700 14.0237 14
15429800 13.9021 14
15429900 14.093 14
15430000 14.1325 14
15430100 14.3673 14
15430200 14.2677 14
15430300 14.3043 14
15430400 14.7301 14
15430500 14.7622 14
15430600 14.6643 14
15430700 14.4862 14
15430800 14.3261 14
15430900 13.8607 14
15431000 13.7661 14
15431100 14.0681 14
15431200 13.9275 14
15431300 14.0278 14
15431400 13.921 14
15431500 13.7891 14
15431600 13.8495 14
15431700 13.899 14
15431800 13.9636 14
15431900 13.9643 14
15432000 13.9264 14
15432100 13.8205 14
15432200 13.6323 14
15432300 13.9238 14
15432400 14.183 14
15432500 14.0247 14
15432600 13.6483 14
15432700 13.4627 14
