# Time-averaged data for fix at2
# TimeStep f_mysf1[1] f_mysf2[1]
1000 0.00923169 -0.0314825
2000 -0.034737 0.0561647
3000 0.00624332 -0.0545592
4000 -0.0657768 0.0292298
5000 0.0724207 -0.0137931
6000 0.030015 0.00683504
7000 -0.0342105 0.0207419
8000 -0.00327556 -0.0156667
9000 0.0336472 0.00746749
10000 -0.014729 0.000809972
11000 -0.0671886 -0.0156793
12000 0.11172 -0.0447985
13000 0.020641 0.00927908
14000 -0.0581066 0.0397552
15000 0.0311545 0.0180936
16000 -0.0203956 -0.108645
17000 -0.00958308 0.100899
18000 -0.0571874 0.0323202
19000 0.0669037 -0.0636331
20000 -0.0229131 0.0692
21000 0.044491 -0.102108
22000 -0.0516135 0.0328791
23000 -0.0535812 -0.0048942
24000 0.0357954 0.0611859
25000 0.0102068 -0.0168903
26000 0.0259625 -0.0615629
27000 -0.00854657 0.0526434
28000 0.0234 -0.0154717
29000 -0.00182709 0.0179253
30000 -0.0391669 0.00430651
31000 0.0114894 0.003286
32000 -0.0256246 0.0384049
33000 0.0114566 -0.0684873
34000 0.0548156 -0.0428508
35000 -0.0219909 0.0150303
36000 -0.0295962 -0.00378661
37000 0.0290923 0.0699639
38000 -0.0135526 -0.00119592
39000 0.00491307 -0.0101501
40000 -0.0145524 -0.0463455
41000 0.0226787 0.00316129
42000 -0.0410308 0.0189818
43000 0.0589136 0.0738701
44000 -0.0676883 -0.0353467
45000 0.102725 -0.0536978
46000 -0.0709796 0.0442337
47000 0.0121369 0.00388768
48000 -0.0275277 0.0378194
49000 0.0520113 -0.111491
50000 -0.0518021 0.0823057
51000 0.0408079 -0.0669016
52000 0.0239763 0.0811588
53000 -0.0626226 -0.0469271
54000 0.0436815 -0.0163593
55000 -0.0326754 0.00337216
56000 -0.0112713 0.0082819
57000 0.0273097 0.0430824
58000 -0.0336227 -0.0669783
59000 -6.64476e-05 0.0398254
60000 -0.0293168 -0.0300236
61000 0.0582807 -0.00245736
62000 0.0172124 -0.0162711
63000 -0.0190332 0.0868515
64000 0.0486325 -0.0471567
65000 -0.0149287 0.031352
66000 -0.0371985 0.00796152
67000 0.0375189 -0.013312
68000 -0.0146591 0.00580218
69000 -0.041689 -0.00740944
70000 -0.00787357 -0.0132924
71000 -0.0201975 -0.00565044
72000 0.0401799 -0.0437715
73000 -0.0202755 -0.0117539
74000 -0.0287736 0.061722
75000 0.0495253 -0.0357692
76000 -0.0472031 -0.0213598
77000 0.022186 0.0684669
78000 0.00455017 -0.00444403
79000 0.00107442 0.0589984
80000 -0.00096292 0.00732806
81000 0.0113712 -0.0772361
82000 -0.00597916 0.0125359
83000 0.00971775 0.0509821
84000 0.00293839 0.000230834
85000 -0.0317917 -0.0468041
86000 0.151383 -0.0489934
87000 -0.0874709 0.0336989
88000 0.00457834 -0.0437448
89000 -0.0497213 0.100616
90000 0.0748566 -0.0252993
91000 -0.0466275 -0.0885388
92000 -0.0155461 0.0160815
93000 0.0419833 -0.0147296
94000 -0.0363347 0.109842
95000 -0.0661046 -0.0376496
96000 0.075795 0.0476163
97000 -0.0188671 -0.0425878
98000 0.0171227 0.00338406
99000 -0.0708774 0.0196897
100000 0.0865453 -0.0776406
101000 -0.0515059 0.0841538
102000 0.071179 -0.0505586
103000 -0.0432282 -0.0268549
104000 -0.0168944 0.0793572
105000 0.00780489 -0.0714875
106000 -0.0896492 0.0265692
107000 0.118196 -0.0111941
108000 -0.115436 0.0547777
109000 0.0334627 -0.104778
110000 -0.0597512 0.0286288
111000 0.138362 -0.105587
112000 -0.0817217 0.102117
113000 0.0183332 0.0151179
114000 -0.0423036 -0.0121403
115000 0.0496526 0.0474798
116000 -0.00751831 -0.093533
117000 -0.0166377 -0.00146635
118000 0.0222032 -0.0378057
119000 -0.00643847 -0.0125667
120000 -0.0595351 0.0210576
121000 0.0990004 0.0940293
122000 -0.0465072 -0.090098
123000 0.00894024 0.0213799
124000 0.0165609 -0.0405241
125000 -0.0166529 0.0444226
126000 -0.0222621 -0.0169867
127000 -0.0289678 -0.073206
128000 -0.032962 0.106106
129000 0.030114 -0.0183189
130000 -0.0735236 -0.0407263
131000 0.035594 0.0154325
132000 0.0175349 0.0125687
133000 -0.0263228 0.0410401
134000 0.0461936 -0.0379816
135000 -0.0246541 0.0578672
136000 -0.0255769 0.0478678
137000 0.0567094 -0.0608954
138000 -0.0176596 0.0208295
139000 -0.041828 -0.0518584
140000 0.03684 0.0301286
141000 0.0100223 -0.0454147
142000 -0.0327759 0.0759474
143000 0.00128306 -0.0112369
144000 -0.00445283 -0.0531494
145000 -0.0100985 0.0902988
146000 0.0449888 -0.0349629
147000 -0.0664899 0.00520493
148000 -0.0149337 0.057461
149000 -0.0267183 -0.00990315
150000 0.0426229 -0.0785839
151000 0.0892631 0.069629
152000 -0.0581322 -0.0455902
153000 -0.0307358 0.0472132
154000 0.0366688 -0.049178
155000 -0.0245417 0.00194078
156000 0.0475259 -0.0174444
157000 -0.0369121 0.0237946
158000 0.0148058 0.0821673
159000 -0.0199842 -0.00204873
160000 -0.0752978 -0.112602
161000 0.0698942 0.0606697
162000 0.00150347 0.0112111
163000 0.0446861 -0.00867647
164000 0.00195883 -0.0311665
165000 0.0320531 -0.0721046
166000 -0.048107 0.0561893
167000 0.0369817 -0.059109
168000 -0.0168753 0.0721357
169000 -0.0588244 -0.041433
170000 0.0818995 -0.00451129
