# Time-averaged data for fix myat1
# TimeStep v_deltaz
100 88.4292
200 87.8406
300 87.1169
400 86.316
500 85.4965
600 84.6694
700 83.8487
800 83.0409
900 82.228
1000 81.4307
1100 80.6385
1200 79.8483
1300 79.0504
1400 78.2492
1500 77.4525
1600 76.6625
1700 75.8852
1800 75.1088
1900 74.3323
2000 73.5627
2100 72.8022
2200 72.0448
2300 71.2981
2400 70.5518
2500 69.8119
2600 69.0793
2700 68.3542
2800 67.6305
2900 66.8932
3000 66.1653
3100 65.4446
3200 64.7244
3300 64.0189
3400 63.3158
3500 62.6133
3600 61.912
3700 61.2086
3800 60.514
3900 59.8303
4000 59.1488
4100 58.471
4200 57.7901
4300 57.1161
4400 56.4496
4500 55.7945
4600 55.1444
4700 54.4904
4800 53.8371
4900 53.1899
5000 52.5413
5100 51.8968
5200 51.2687
5300 50.649
5400 50.0272
5500 49.4052
5600 48.7941
5700 48.1914
5800 47.5951
5900 47.0166
6000 46.4394
6100 45.8685
6200 45.3117
6300 44.7747
6400 44.2592
6500 43.7441
6600 43.2458
6700 42.7699
6800 42.3201
6900 41.9071
7000 41.5225
7100 41.1796
7200 40.8616
7300 40.5806
7400 40.338
7500 40.1334
7600 39.9719
7700 39.8524
7800 39.7779
7900 39.7382
8000 39.7342
8100 39.7712
8200 39.8449
8300 39.9392
8400 40.0632
8500 40.2025
8600 40.3552
8700 40.5166
8800 40.7048
8900 40.9031
9000 41.1015
9100 41.3021
9200 41.5014
9300 41.6936
9400 41.8784
9500 42.0507
9600 42.2267
9700 42.4058
9800 42.5671
9900 42.719
10000 42.8631
10100 42.9969
10200 43.1256
10300 43.2468
10400 43.3492
10500 43.4304
10600 43.512
10700 43.587
10800 43.6542
10900 43.7016
11000 43.7314
11100 43.7633
11200 43.7948
11300 43.8068
11400 43.811
11500 43.8126
11600 43.8115
11700 43.8037
11800 43.7806
11900 43.7662
12000 43.7361
12100 43.6975
12200 43.6499
12300 43.5985
12400 43.5549
12500 43.5216
12600 43.4819
12700 43.4456
12800 43.4123
12900 43.3745
13000 43.3381
13100 43.2994
13200 43.2676
13300 43.2369
13400 43.1954
13500 43.1373
13600 43.0893
13700 43.0437
13800 43.0001
13900 42.9581
14000 42.9189
14100 42.8835
14200 42.8467
14300 42.8153
14400 42.7988
14500 42.7763
14600 42.7497
14700 42.7216
14800 42.7008
14900 42.6822
15000 42.6708
15100 42.6635
15200 42.6688
15300 42.6691
15400 42.6518
15500 42.6411
15600 42.6404
15700 42.6473
15800 42.6597
15900 42.6713
16000 42.683
16100 42.6943
16200 42.6998
16300 42.7111
16400 42.7259
16500 42.7276
16600 42.7427
16700 42.7647
16800 42.79
16900 42.8055
17000 42.8206
17100 42.8416
17200 42.8662
17300 42.886
17400 42.9158
17500 42.9439
17600 42.9565
17700 42.9662
17800 42.9789
17900 42.9989
18000 43.0233
18100 43.0511
18200 43.0826
18300 43.1131
18400 43.1416
18500 43.1578
18600 43.1632
18700 43.185
18800 43.2083
18900 43.223
19000 43.2386
19100 43.2565
19200 43.2577
19300 43.2468
19400 43.2383
19500 43.2339
19600 43.2245
19700 43.223
19800 43.2186
19900 43.2057
20000 43.2042
