# Time-averaged data for fix myat3
# TimeStep v_myenthalpy
100 -4054.36
200 -4097.55
300 -4164
400 -4049.97
500 -4193.96
600 -4203.15
700 -4127.54
800 -4061.09
900 -4316.4
1000 -4217.12
1100 -4029.67
1200 -4034.97
1300 -4190.45
1400 -4220.59
1500 -4342.47
1600 -4241.23
1700 -4201.94
1800 -4179.96
1900 -4131.96
2000 -4180.23
2100 -4059.79
2200 -4152.61
2300 -4201.01
2400 -4248.93
2500 -4085.78
2600 -4108.4
2700 -4032.42
2800 -3959.81
2900 -4223.01
3000 -4157.83
3100 -4158.74
3200 -4178.17
3300 -4291.23
3400 -4152.18
3500 -4233.61
3600 -4294.68
3700 -4343.12
3800 -4236.46
3900 -3984.32
4000 -4228.87
4100 -4121.6
4200 -4109.57
4300 -4435.58
4400 -3946.16
4500 -4164.37
4600 -4150.88
4700 -4390.62
4800 -4378.14
4900 -4243.57
5000 -4229.94
5100 -4044.13
5200 -4178.91
5300 -4298.96
5400 -4253.95
5500 -4309.96
5600 -4229.56
5700 -4152.36
5800 -4253.47
5900 -4145.73
6000 -4301.38
6100 -4297.99
6200 -4265.17
6300 -4152
6400 -4187.42
6500 -4093.05
6600 -4046.65
6700 -4221.44
6800 -4245.6
6900 -4235.92
7000 -4312.26
7100 -4266.06
7200 -4330.23
7300 -4301.39
7400 -4195.41
7500 -4072.82
7600 -4174.97
7700 -4262.15
7800 -4167.38
7900 -3978.79
8000 -4111.31
8100 -4258.78
8200 -4389.4
8300 -4156.14
8400 -4183.51
8500 -4413.36
8600 -4251.55
8700 -4199.37
8800 -4349.02
8900 -4488.68
9000 -4357.11
9100 -4234.56
9200 -4311.51
9300 -4099.27
9400 -4132.51
9500 -4338.16
9600 -4254.16
9700 -4291.97
9800 -4170.08
9900 -4085.35
10000 -4077.3
