# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 348.565
200 321.566
300 311.134
400 301.954
500 299.018
600 295.112
700 302.696
800 296.164
900 292.877
1000 300.917
1100 306.012
1200 306.205
1300 294.172
1400 296.576
1500 295.708
1600 299.624
1700 301.657
1800 303.908
1900 304.552
2000 300.566
2100 306.032
2200 297.323
2300 296.803
2400 295.991
2500 309.057
2600 307.199
2700 303.481
2800 301.059
2900 294.693
3000 297.802
3100 303.225
3200 307.379
3300 305.836
3400 311.271
3500 300.333
3600 295.887
3700 302.447
3800 305.336
3900 311.188
4000 297.012
4100 304.401
4200 295.325
4300 293.819
4400 302.492
4500 310.098
4600 304.563
4700 303.53
4800 297.23
4900 292.636
5000 304.408
5100 306.954
5200 301.961
5300 301.847
5400 291.616
5500 294.575
5600 297.964
5700 302.723
5800 305.053
5900 297.228
6000 293.47
6100 294.148
6200 303.325
6300 299.084
6400 301.13
6500 305.458
6600 293.523
6700 290.088
6800 301.263
6900 305.515
7000 296.351
7100 297.609
7200 298.683
7300 295.404
7400 302.059
7500 306.612
7600 305.875
7700 295.429
7800 294.166
7900 307.335
8000 296.666
8100 291.526
8200 283.452
8300 299.931
8400 302.265
8500 294.404
8600 301.501
8700 310.694
8800 300.774
8900 297.295
9000 300.401
9100 298.424
9200 298.359
9300 307.812
9400 309.639
9500 305.122
9600 307.4
9700 297.682
9800 296.396
9900 298.181
10000 308.403
