# Time-averaged data for fix myat2
# TimeStep v_myvol
100 14424.1
200 14396.9
300 14348
400 14288.3
500 14241.7
600 14197.8
700 14147.1
800 14109.9
900 14093
1000 14069.9
1100 14040.4
1200 14039.4
1300 14060.3
1400 14091.3
1500 14099.2
1600 14080.9
1700 14048
1800 13987.3
1900 13929.1
2000 13874.3
2100 13829.3
2200 13798.7
2300 13788.8
2400 13780.1
2500 13752.2
2600 13733.4
2700 13722.4
2800 13727.7
2900 13753.6
3000 13786.8
3100 13835.8
3200 13885.1
3300 13930.7
3400 13958.3
3500 13979.8
3600 14001.3
3700 13994.7
3800 13956.6
3900 13899.2
4000 13849.5
4100 13815
4200 13802.6
4300 13804.2
4400 13794.5
4500 13818
4600 13864.6
4700 13905.2
4800 13912.3
4900 13895.7
5000 13867
5100 13835.4
5200 13826.5
5300 13836.1
5400 13848
5500 13850
5600 13850.9
5700 13845.9
5800 13856.3
5900 13882.9
6000 13917.7
6100 13939.3
6200 13940.4
6300 13930.7
6400 13931.8
6500 13925.5
6600 13930.7
6700 13965.9
6800 14009.8
6900 14039.5
7000 14037.4
7100 14010
7200 13973.8
7300 13940.4
7400 13902.3
7500 13858.3
7600 13804.6
7700 13731.7
7800 13643.9
7900 13578.9
8000 13546.9
8100 13540.5
8200 13534.6
8300 13520.6
8400 13532.6
8500 13566.3
8600 13595.4
8700 13637.1
8800 13688
8900 13718.5
9000 13719.4
9100 13708.1
9200 13702.1
9300 13707.1
9400 13721.5
9500 13741.8
9600 13740
9700 13731.6
9800 13717.3
9900 13699.7
10000 13705.4
