# Time-averaged data for fix myat2
# TimeStep v_delta_x
100 7.18664
200 7.1389
300 6.87789
400 6.1546
500 5.72733
600 5.87126
700 6.07125
800 6.79423
900 7.79861
1000 8.27253
1100 8.14823
1200 7.45609
1300 6.5795
1400 6.40541
1500 6.81001
1600 7.25831
1700 7.42929
1800 6.52319
1900 6.06096
2000 5.65866
2100 5.44445
2200 5.69789
2300 6.11787
2400 6.44147
2500 6.27205
2600 5.73968
2700 5.30535
2800 5.19034
2900 5.11904
3000 4.90158
3100 5.31392
3200 5.55455
3300 5.72059
3400 5.70769
3500 5.88278
3600 5.64405
3700 6.06715
3800 6.6194
3900 6.66912
4000 5.98952
4100 5.6567
4200 5.39076
4300 5.1398
4400 5.10969
4500 4.94264
4600 5.28666
4700 5.63637
4800 5.85846
4900 5.40004
5000 4.98558
5100 5.13919
5200 5.70388
5300 6.08983
5400 6.07985
5500 6.20338
5600 5.96163
5700 5.53092
5800 5.01408
5900 4.68367
6000 4.57663
6100 4.21826
6200 4.35718
6300 4.49409
6400 4.60629
6500 4.68866
6600 4.67428
6700 4.77839
6800 4.75831
6900 4.15414
7000 4.23343
7100 4.22074
7200 4.30107
7300 4.35591
7400 4.3224
7500 4.28682
7600 4.40078
7700 4.22428
7800 4.09614
7900 4.23004
8000 4.67637
8100 4.52766
8200 4.23721
8300 4.13314
8400 4.08812
8500 3.77193
8600 3.7047
8700 3.9651
8800 4.14803
8900 4.38684
9000 4.34811
9100 4.52194
9200 4.67713
9300 4.6215
9400 4.72263
9500 4.54242
9600 4.81322
9700 4.90212
9800 4.55733
9900 5.15909
10000 5.4363
10100 5.2768
10200 5.77012
10300 6.81781
10400 8.06259
10500 10.0906
10600 11.6511
10700 12.958
10800 13.9228
10900 14.2419
11000 14.637
11100 14.8487
11200 15.2013
11300 15.8148
11400 16.2331
11500 16.5208
11600 16.9524
11700 17.4091
11800 17.9635
11900 18.356
12000 18.7735
12100 18.8505
12200 19.1649
12300 19.517
12400 19.6563
12500 20.0408
12600 20.2055
12700 20.1946
12800 20.1568
12900 20.3391
13000 20.487
13100 20.6612
13200 20.6332
13300 20.771
13400 21.161
13500 21.2654
13600 21.2117
13700 20.7785
13800 20.4843
13900 20.484
14000 20.8881
14100 20.8237
14200 20.7641
14300 20.605
14400 20.5971
14500 20.6296
14600 21.0689
14700 21.3288
14800 21.2656
14900 21.1925
15000 21.3243
15100 20.8795
15200 20.876
15300 20.9047
15400 21.0709
15500 21.1583
15600 21.267
15700 20.8396
15800 21.1317
15900 20.8952
16000 20.3639
16100 20.5405
16200 21.1039
16300 21.414
16400 21.5401
16500 21.9208
16600 22.0904
16700 22.0434
16800 21.7367
16900 21.615
17000 21.8731
17100 21.9449
17200 22.4484
17300 22.607
17400 22.9233
17500 22.9752
17600 23.2191
17700 23.3076
17800 23.2969
17900 23.7186
18000 23.5934
18100 23.8745
18200 23.8939
18300 23.7764
18400 23.6774
18500 23.6691
18600 23.7258
18700 23.3577
18800 23.5754
18900 23.457
19000 23.5009
19100 23.6883
19200 23.6392
19300 23.583
19400 23.741
19500 24.1788
19600 24.2374
19700 24.5317
19800 24.2676
19900 24.1023
20000 23.793
20100 23.3823
20200 23.5217
20300 23.7343
20400 23.9989
20500 24.0812
20600 24.1115
20700 24.4751
20800 24.4156
20900 24.3237
21000 24.551
21100 24.3718
21200 24.4371
21300 24.4457
21400 24.1994
21500 24.2506
21600 24.5962
21700 25.0035
21800 25.0066
21900 25.2626
22000 25.3146
22100 25.3905
22200 25.3039
22300 25.3547
22400 25.7494
22500 25.8244
22600 25.4752
22700 25.0734
22800 24.9923
22900 25.3104
23000 25.2373
23100 25.0742
23200 25.2226
23300 24.682
23400 24.9136
23500 25.339
23600 25.583
23700 25.8117
23800 26.1102
23900 26.2153
24000 26.0989
24100 25.7921
24200 25.9199
24300 25.5012
24400 25.8233
24500 25.9747
24600 25.9337
24700 25.6827
24800 25.255
24900 25.2876
25000 25.0106
25100 25.0072
25200 25.1968
25300 25.7589
25400 25.8403
25500 25.6155
25600 25.7045
25700 25.869
25800 25.963
25900 25.9373
26000 25.9152
26100 26.2555
26200 26.1292
26300 26.1789
26400 25.7213
26500 25.4903
26600 25.5359
26700 25.7929
26800 25.9563
26900 26.1949
27000 25.8338
27100 25.5059
27200 25.5616
27300 25.771
27400 26.0127
27500 25.8067
27600 26.0956
27700 25.9815
27800 26.1852
27900 25.6665
28000 25.2059
28100 24.7105
28200 24.6719
28300 24.6523
28400 24.5535
28500 24.5937
28600 24.9997
28700 25.0194
28800 25.1457
28900 25.3071
29000 25.2405
29100 25.5486
29200 25.76
29300 25.6972
29400 26.107
29500 26.3
29600 26.1743
29700 26.1008
29800 25.9982
29900 25.4501
30000 25.4364
30100 25.377
30200 25.8325
30300 25.8124
30400 26.0804
30500 26.2583
30600 26.4573
30700 26.0165
30800 25.9243
30900 25.979
31000 25.8946
31100 25.7577
31200 25.7128
31300 25.7958
31400 25.815
31500 25.8634
31600 25.8864
31700 26.0906
31800 26.1518
31900 26.1675
32000 26.2424
32100 25.9462
32200 25.7613
32300 26.1381
32400 26.2348
32500 25.7556
32600 25.4656
32700 25.6577
32800 25.7257
32900 25.6343
33000 25.7383
33100 25.4879
33200 25.7823
33300 25.5312
33400 25.8831
33500 25.8114
33600 25.7449
33700 25.6229
33800 25.5991
33900 25.4715
34000 25.1978
34100 25.1845
34200 25.0177
34300 24.7532
34400 25.2197
34500 25.0348
34600 25.3295
34700 25.569
34800 25.7838
34900 25.477
35000 25.5107
35100 25.2115
35200 24.7231
35300 24.8704
35400 25.0132
35500 25.4944
35600 25.6993
35700 25.6018
35800 25.6944
35900 25.6788
36000 25.8445
36100 26.0208
36200 26.2065
36300 25.921
36400 25.9282
36500 25.9136
36600 25.7057
36700 25.1688
36800 25.068
36900 25.0297
37000 24.9119
37100 25.4653
37200 25.687
37300 25.8336
37400 25.7266
37500 25.9928
37600 26.2325
37700 26.1064
37800 26.0908
37900 25.8258
38000 25.627
38100 25.6852
38200 25.7494
38300 25.7234
38400 26.0187
38500 25.7437
38600 25.5064
38700 25.3211
38800 25.4033
38900 25.3235
39000 25.5364
39100 25.4033
39200 25.2822
39300 25.5217
39400 25.483
39500 25.2045
39600 25.1639
39700 25.0913
39800 25.3963
39900 25.4727
40000 25.8605
40100 26.0519
40200 25.7339
40300 25.7788
40400 25.4793
40500 25.5056
40600 25.5345
40700 25.5849
40800 25.8115
40900 25.868
41000 25.5419
41100 25.4581
41200 25.7518
41300 25.9457
41400 25.9173
41500 25.4458
41600 25.2895
41700 25.4605
41800 25.7456
41900 25.515
42000 25.3626
42100 25.0421
42200 24.8783
42300 25.0316
42400 25.2555
42500 25.3584
42600 25.1704
42700 25.1947
42800 25.3151
42900 25.3988
43000 24.9837
43100 24.7904
43200 24.6227
43300 24.1752
43400 24.1666
43500 24.6656
43600 24.5523
43700 24.7648
43800 25.0245
43900 25.4305
44000 25.7855
44100 25.9466
44200 25.7364
44300 25.6267
44400 25.7462
44500 25.5795
44600 25.3084
44700 25.123
44800 24.8747
44900 24.5243
45000 24.4438
45100 24.6146
45200 24.8651
45300 24.9013
45400 24.6021
45500 24.6667
45600 24.8225
45700 24.9644
45800 24.9112
45900 24.631
46000 24.7882
46100 24.9495
46200 24.6872
46300 24.7218
46400 24.5633
46500 24.499
46600 24.4147
46700 24.3791
46800 24.511
46900 24.6217
47000 24.5028
47100 24.4271
47200 24.4819
47300 24.5508
47400 25.0687
47500 25.0711
47600 25.6544
47700 25.8277
47800 26.0412
47900 25.9766
48000 25.9287
48100 26.0773
48200 26.4538
48300 26.2535
48400 26.4554
48500 26.201
48600 26.4306
48700 26.4901
48800 26.9844
48900 26.7569
49000 26.4704
49100 26.358
49200 26.2825
49300 26.2277
49400 26.6033
49500 26.6944
49600 26.9586
49700 27.1754
49800 27.0276
49900 26.5478
50000 26.4766
50100 26.2731
50200 25.9148
50300 25.9443
50400 26.1574
50500 25.9795
50600 26.0308
50700 26.1312
50800 25.5942
50900 25.409
51000 25.6174
51100 25.8058
51200 25.9326
51300 26.0386
51400 26.122
51500 26.0685
51600 26.2753
51700 26.4804
51800 26.3857
51900 26.3133
52000 26.198
52100 26.0877
52200 26.1133
52300 25.9656
52400 25.9376
52500 26.0182
52600 26.3108
52700 25.9873
52800 25.6814
52900 25.5283
53000 25.7032
53100 25.8395
53200 25.9778
53300 26.0039
53400 25.8169
53500 25.559
53600 25.2779
53700 25.0201
53800 25.1117
53900 25.0956
54000 24.9239
54100 24.9999
54200 25.4138
54300 25.7287
54400 25.5793
54500 25.6769
54600 25.6681
54700 25.4908
54800 25.5511
54900 25.8442
55000 25.8828
55100 25.8278
55200 25.7062
55300 25.8319
55400 25.6847
55500 25.5606
55600 25.5966
55700 25.8347
55800 25.8579
55900 25.9258
56000 25.5606
56100 25.5345
56200 25.6699
56300 25.5622
56400 25.4083
56500 25.6837
56600 25.8057
56700 25.9632
56800 25.7217
56900 25.4623
57000 25.2722
57100 25.0678
57200 24.93
57300 25.175
57400 25.4398
57500 24.9052
57600 25.278
57700 25.3237
57800 25.4064
57900 25.8442
58000 26.2364
58100 26.5243
58200 26.4088
58300 26.2187
58400 25.8544
58500 26.1413
58600 26.421
58700 26.2181
58800 26.2813
58900 26.2513
59000 26.2238
59100 26.4772
59200 26.4526
59300 25.8667
59400 25.3214
59500 25.2899
59600 25.0917
59700 25.3504
59800 25.314
59900 24.9687
60000 25.2877
