# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 312.179
200 295.064
300 294.721
400 303.823
500 301.115
600 303.339
700 289.405
800 292.003
900 299.177
1000 299.634
1100 307.011
1200 296.017
1300 295.006
1400 293.464
1500 284.306
1600 289.642
1700 300.839
1800 295.876
1900 297.403
2000 305.609
2100 301.352
2200 302.99
2300 297.457
2400 291.704
2500 290.022
2600 295.112
2700 304.7
2800 302.903
2900 304.921
3000 290.909
3100 295.618
3200 303.768
3300 297.25
3400 306.564
3500 308.374
3600 302.454
3700 298.84
3800 298.153
3900 299.909
4000 297.449
4100 310.976
4200 302.146
4300 298.122
4400 297.635
4500 287.572
4600 294.616
4700 308.152
4800 295.799
4900 299.374
5000 309.635
5100 298.082
5200 291.444
5300 295.197
5400 298.214
5500 301.162
5600 302.982
5700 298.138
5800 285.357
5900 292.292
6000 295.87
6100 295.049
6200 296.498
6300 305.608
6400 299.279
6500 305.063
6600 289.455
6700 293.44
6800 297.286
6900 299.854
7000 296.308
7100 299.351
7200 296.508
7300 302.823
7400 305.039
7500 302.128
7600 297.325
7700 299.047
7800 292.56
7900 301.455
8000 309.548
8100 305.294
8200 294.94
8300 289.157
8400 303.733
8500 309.44
8600 318.073
8700 304.955
8800 300.077
8900 291.03
9000 303.161
9100 305.931
9200 308.064
9300 307.684
9400 297.775
9500 294.628
9600 296.084
9700 302.481
9800 299.946
9900 301.561
10000 305.121
10100 303.168
10200 295.669
10300 298.454
10400 301.404
10500 299.61
10600 290.997
10700 297.543
10800 301.765
10900 304.575
11000 310.024
11100 308.741
11200 306.263
11300 306.88
11400 302.602
11500 293.566
11600 302.952
11700 302.041
11800 310.148
11900 301.48
12000 296.026
12100 290.794
12200 293.314
12300 302.391
12400 299.51
12500 302.904
12600 299.398
12700 289.978
12800 296.544
12900 297.831
13000 298.981
13100 301.994
13200 301.347
13300 301.944
13400 310.686
13500 300.682
13600 295.338
13700 298.634
13800 303.717
13900 312.169
14000 308.063
14100 304.467
14200 289.721
14300 303.325
14400 301.273
14500 304.136
14600 306.939
14700 308.38
14800 302.615
14900 299.773
15000 297.399
15100 307.612
15200 291.714
15300 293.864
15400 297.489
15500 298.754
15600 296.292
15700 306.784
15800 305.474
15900 293.896
16000 290.954
16100 303.353
16200 297.488
16300 300.696
16400 303.412
16500 290.165
16600 293.472
16700 294.273
16800 306.554
16900 300.43
17000 304.689
17100 294.445
17200 298.399
17300 300.194
17400 306.525
17500 303.631
17600 303.353
17700 297.882
17800 296.45
17900 302.236
18000 296.785
18100 299.092
18200 306.365
18300 298.454
18400 305.055
18500 308.638
18600 305.659
18700 305.037
18800 296.939
18900 291.666
19000 304.553
19100 304.262
19200 309.621
19300 302.359
19400 302.152
19500 299.482
19600 296.506
19700 292.242
19800 302.699
19900 302.665
20000 305.428
20100 297.648
20200 296.046
20300 292.128
20400 291.272
20500 303.424
20600 303.033
20700 300.206
20800 298.238
20900 294.349
