# Time-averaged data for fix myat3
# TimeStep v_mydensity
100 0.00651861
200 0.00666539
300 0.00690218
400 0.00716468
500 0.00745158
600 0.00772744
700 0.00804757
800 0.00833933
900 0.00858443
1000 0.00887054
1100 0.00917038
1200 0.00945784
1300 0.00976865
1400 0.0100248
1500 0.0102858
1600 0.010587
1700 0.0109404
1800 0.0112479
1900 0.0115532
2000 0.0118967
2100 0.0122109
2200 0.0124854
2300 0.0128445
2400 0.0132174
2500 0.0135878
2600 0.0139628
2700 0.0143777
2800 0.0147534
2900 0.015275
3000 0.015635
3100 0.0160547
3200 0.0164476
3300 0.0167404
3400 0.0170796
3500 0.017405
3600 0.0178405
3700 0.0182906
3800 0.0186381
3900 0.0190401
4000 0.0194044
4100 0.0198876
4200 0.0205348
4300 0.0210972
4400 0.0215044
4500 0.0219227
4600 0.0224467
4700 0.0228057
4800 0.0232495
4900 0.0237648
5000 0.024204
5100 0.0246257
5200 0.0248909
5300 0.0252119
5400 0.0254462
5500 0.0259052
5600 0.0264824
5700 0.0266124
5800 0.026675
5900 0.0268191
6000 0.0271598
6100 0.0273811
6200 0.0276078
6300 0.0278135
6400 0.0282542
6500 0.0288718
6600 0.0293701
6700 0.0294838
6800 0.0296581
6900 0.0300665
7000 0.0304795
7100 0.03083
7200 0.030748
7300 0.0306202
7400 0.0309813
7500 0.0314855
7600 0.0317851
7700 0.0318455
7800 0.031895
7900 0.0319353
8000 0.0321018
8100 0.0320811
8200 0.0324908
8300 0.0328651
8400 0.0332273
8500 0.0331108
8600 0.0328416
8700 0.0328092
8800 0.0331692
8900 0.0332322
9000 0.0333811
9100 0.0334803
9200 0.0336321
9300 0.0333953
9400 0.0333614
9500 0.0331407
9600 0.0327049
9700 0.0328887
9800 0.033093
9900 0.0330574
10000 0.0330114
10100 0.0330449
10200 0.0332334
10300 0.0329961
10400 0.0328531
10500 0.0331959
10600 0.033215
10700 0.0330044
10800 0.0329811
10900 0.0328791
11000 0.0327514
11100 0.0325231
11200 0.0325792
11300 0.0325538
11400 0.0323976
11500 0.032368
11600 0.0326739
11700 0.032679
11800 0.0328158
11900 0.0328737
12000 0.0327883
12100 0.032624
12200 0.0327428
12300 0.0330744
12400 0.0332513
12500 0.0329959
12600 0.0329166
12700 0.0333174
12800 0.0333663
12900 0.0331237
13000 0.032992
13100 0.0330222
13200 0.0334296
13300 0.0336564
13400 0.0333558
13500 0.0332472
13600 0.0332964
13700 0.0331622
13800 0.0331979
13900 0.0332229
14000 0.0329677
14100 0.0328014
14200 0.0330137
14300 0.0331843
14400 0.0331234
14500 0.0327662
14600 0.0325625
14700 0.0327128
14800 0.0325832
14900 0.0326306
15000 0.0325265
15100 0.0328597
15200 0.0334322
15300 0.0336169
15400 0.0332142
15500 0.0327683
15600 0.0325715
15700 0.0331221
15800 0.0334512
15900 0.0332058
16000 0.0329124
16100 0.0330477
16200 0.0331524
16300 0.0334502
16400 0.0337461
16500 0.0337205
16600 0.0333886
16700 0.0333102
16800 0.0332558
16900 0.033629
17000 0.0338802
17100 0.0337393
17200 0.0334166
17300 0.0335474
17400 0.0340977
17500 0.0343506
17600 0.033829
17700 0.0335139
17800 0.0336594
17900 0.0335992
18000 0.033301
18100 0.0333573
18200 0.0331277
18300 0.0325839
18400 0.0323256
18500 0.0326811
18600 0.0330631
18700 0.0331214
18800 0.0328772
18900 0.0327188
19000 0.0332014
19100 0.0331591
19200 0.0332488
19300 0.0336768
19400 0.0338318
19500 0.033854
19600 0.033612
19700 0.0333536
19800 0.0334305
19900 0.0337446
20000 0.0337984
20100 0.0339983
20200 0.0338133
20300 0.033446
20400 0.0331103
20500 0.0331946
20600 0.0333966
20700 0.0334585
20800 0.0330571
20900 0.0328656
21000 0.0329361
21100 0.0330285
21200 0.0331679
21300 0.0329262
21400 0.0326697
21500 0.0329274
21600 0.0333048
21700 0.033356
21800 0.0331749
21900 0.0331939
22000 0.0329807
22100 0.0327649
22200 0.0329407
22300 0.0330542
22400 0.033138
22500 0.0332212
22600 0.033212
22700 0.0333068
22800 0.0337012
22900 0.0337531
23000 0.0336019
23100 0.0334467
23200 0.0331749
23300 0.0332482
23400 0.033847
23500 0.0339212
23600 0.0336736
23700 0.0336223
23800 0.0337271
23900 0.0336115
24000 0.033326
24100 0.0332475
24200 0.0334348
24300 0.0331763
24400 0.0329198
24500 0.0330706
24600 0.0330761
24700 0.032879
24800 0.0323746
24900 0.0321383
25000 0.0327334
