# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 454.166
200 410.626
300 363.174
400 325.249
500 318.469
600 306.088
700 300.618
800 302.521
900 297.711
1000 303.104
1100 297.75
1200 302.425
1300 297.335
1400 303.055
1500 305.277
1600 289.894
1700 304.897
1800 308.701
1900 299.896
2000 295.785
2100 308.88
2200 298.669
2300 298.541
2400 305.291
2500 298.01
2600 300.202
2700 309.614
2800 301.767
2900 297.344
3000 302.69
3100 304.829
3200 300.471
3300 292.642
3400 295.092
3500 299.794
3600 296.81
3700 294.921
3800 289.014
3900 301.033
4000 303.373
4100 295.766
4200 302.793
4300 306.503
4400 303.673
4500 295.349
4600 311.382
4700 302.524
4800 300.299
4900 298.114
5000 311.372
5100 304.254
5200 295.728
5300 302.901
5400 303.582
5500 295.371
5600 298.625
5700 308.486
5800 295.565
5900 299.828
6000 306.969
6100 299.224
6200 302.345
6300 307.444
6400 301.058
6500 298.792
6600 295.336
6700 296.713
6800 300.031
6900 303.069
7000 299.699
7100 302.616
7200 305.761
7300 298.942
7400 300.13
7500 308.219
7600 302.104
7700 296.174
7800 309.385
7900 301.382
8000 297.115
8100 295.013
8200 302.757
8300 297.652
8400 296.892
8500 297.827
8600 305.065
8700 298.718
8800 305.069
8900 299.481
9000 302.811
9100 297.858
9200 300.741
9300 292.241
9400 291.579
9500 295.608
9600 306.007
9700 297.048
9800 297.593
9900 301.173
10000 295.396
10100 293.67
10200 303.682
10300 291.807
10400 291.02
10500 304.572
10600 298.295
10700 298.593
10800 298.068
10900 289.058
11000 298.302
11100 301.074
11200 295.284
11300 302.709
11400 303.228
11500 295.547
11600 310.881
11700 297.614
11800 297.111
11900 301.291
12000 299.763
12100 304.226
12200 301.121
12300 298.493
12400 293.936
12500 296.112
12600 302.004
12700 300.262
12800 294.453
12900 305.737
13000 305.12
13100 301.88
13200 294.441
13300 294.336
13400 301.025
13500 307.101
13600 293.229
13700 293.804
13800 308.805
13900 299.477
14000 297.979
14100 311.104
14200 304.423
14300 305.448
14400 293.117
14500 300.671
14600 304.684
14700 294.548
14800 297.894
14900 300.256
15000 304.698
15100 296.105
15200 301.867
15300 299.879
15400 293.277
15500 307.872
15600 296.352
15700 289.623
15800 300.145
15900 302.416
16000 291.754
16100 302.57
16200 298.671
16300 301.931
16400 299.958
16500 295.121
16600 298.829
16700 304.326
16800 297.021
16900 301.2
17000 298.146
17100 294.041
17200 301.908
17300 292.505
17400 305.969
17500 299.184
17600 300.417
17700 301.995
17800 294.847
17900 294.231
18000 303.855
18100 300.682
18200 291.202
18300 299.862
18400 306.958
18500 310.532
18600 299.691
18700 298.467
18800 296.841
18900 297.525
19000 304.705
19100 298.703
19200 296.185
19300 303.892
19400 293.149
19500 301.345
19600 303.451
19700 298.624
19800 306.814
19900 299.013
20000 300.195
20100 304.078
20200 296.198
20300 303.774
20400 308.77
20500 303.419
20600 298.112
20700 304
20800 305.349
20900 300.534
21000 295.458
21100 297.278
21200 304.922
21300 296.777
21400 297.104
21500 298.491
21600 306.582
21700 293.832
21800 297.84
21900 298.287
22000 310.97
22100 300.389
22200 300.731
22300 298.848
22400 303.217
22500 298.561
22600 305.777
22700 302.972
22800 300.741
22900 294.272
23000 301.548
23100 297.896
23200 295.83
23300 296.087
23400 304.331
23500 310.177
23600 298.301
23700 297.097
23800 302.837
23900 301.916
24000 293.192
24100 302.318
24200 307.264
24300 296.019
24400 302.43
24500 304.919
24600 296.482
24700 306.976
24800 307.112
24900 301.342
25000 302.266
