# Time-averaged data for fix myat2
# TimeStep v_myvol
100 71643.1
200 70067.7
300 67668.4
400 65188.4
500 62679
600 60441.7
700 58036.8
800 56004.4
900 54405
1000 52651.3
1100 50929.1
1200 49381.3
1300 47809.4
1400 46586.3
1500 45405.9
1600 44115
1700 42688.8
1800 41520.7
1900 40424.3
2000 39257.4
2100 38245.8
2200 37405.8
2300 36360.3
2400 35334.7
2500 34371.1
2600 33448.4
2700 32482.8
2800 31656.5
2900 30575.2
3000 29870.1
3100 29089.9
3200 28394.2
3300 27897.3
3400 27343.5
3500 26832.3
3600 26178.2
3700 25533.1
3800 25057
3900 24528
4000 24067.5
4100 23483.8
4200 22743.7
4300 22136.5
4400 21717
4500 21303
4600 20805.7
4700 20477.8
4800 20087.3
4900 19651.5
5000 19294.7
5100 18964.4
5200 18762
5300 18523.3
5400 18352.5
5500 18028.6
5600 17634.5
5700 17548.2
5800 17507.1
5900 17413.1
6000 17194.7
6100 17055.7
6200 16915.6
6300 16790.6
6400 16529
6500 16175.8
6600 15900.6
6700 15839.2
6800 15746.3
6900 15532.4
7000 15322.1
7100 15147.6
7200 15188
7300 15251.4
7400 15074.1
7500 14832.4
7600 14692.5
7700 14664.6
7800 14641.8
7900 14623.3
8000 14547.5
8100 14557
8200 14373.5
8300 14209.7
8400 14054.8
8500 14104.2
8600 14219.9
8700 14233.9
8800 14079.4
8900 14052.6
9000 13990
9100 13948.5
9200 13885.6
9300 13984.1
9400 13998.2
9500 14091.7
9600 14279.3
9700 14199.6
9800 14111.8
9900 14127
10000 14146.6
10100 14132.3
10200 14052.2
10300 14153.4
10400 14214.9
10500 14068.1
10600 14059.9
10700 14149.7
10800 14159.6
10900 14203.6
11000 14258.9
11100 14359.1
11200 14334.4
11300 14345.5
11400 14414.7
11500 14427.9
11600 14292.8
11700 14290.5
11800 14231
11900 14205.9
12000 14242.9
12100 14314.6
12200 14262.7
12300 14119.9
12400 14044.6
12500 14153.3
12600 14187.4
12700 14016.9
12800 13996.2
12900 14098.8
13000 14155
13100 14142
13200 13969.9
13300 13875.5
13400 14000.7
13500 14046.3
13600 14025.5
13700 14082.4
13800 14067.2
13900 14056.6
14000 14165.5
14100 14237.2
14200 14145.7
14300 14072.9
14400 14098.8
14500 14252.8
14600 14341.7
14700 14275.8
14800 14332.5
14900 14311.7
15000 14357.5
15100 14212.4
15200 13968.8
15300 13891.9
15400 14060.5
15500 14251.8
15600 14337.7
15700 14099.9
15800 13960.6
15900 14064
16000 14189.2
16100 14131.1
16200 14086.5
16300 13961.2
16400 13838.7
16500 13849.2
16600 13986.9
16700 14019.8
16800 14042.7
16900 13887
17000 13783.9
17100 13841.5
17200 13975.2
17300 13920.8
17400 13696.3
17500 13595.1
17600 13805.1
17700 13934.5
17800 13874.3
17900 13899.2
18000 14023.6
18100 14000
18200 14097.2
18300 14332.6
18400 14446.8
18500 14289.8
18600 14124.6
18700 14099.7
18800 14204.5
18900 14273.3
19000 14065.9
19100 14083.7
19200 14045.9
19300 13867.2
19400 13803.6
19500 13794.6
19600 13893.9
19700 14001.6
19800 13969.5
19900 13839.3
20000 13817.2
20100 13736
20200 13811.3
20300 13963
20400 14104.5
20500 14068.6
20600 13983.5
20700 13957.6
20800 14127.3
20900 14209.4
21000 14179
21100 14139.3
21200 14079.9
21300 14183.4
21400 14294.6
21500 14182.9
21600 14022.1
21700 14000.5
21800 14076.9
21900 14068.9
22000 14159.9
22100 14253.1
22200 14177
22300 14128.3
22400 14092.6
22500 14057.3
22600 14061.2
22700 14021.2
22800 13857.2
22900 13835.8
23000 13898
23100 13962.6
23200 14077
23300 14046.1
23400 13797.6
23500 13767.2
23600 13868.5
23700 13889.6
23800 13846.5
23900 13894.1
24000 14013.2
24100 14046.3
24200 13967.5
24300 14076.4
24400 14186
24500 14121.4
24600 14119.1
24700 14203.7
24800 14425.3
24900 14531
25000 14267.4
