# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 2017.42
200 2579.35
300 1222.73
400 888.139
500 610.771
600 472.653
700 420.976
800 376.84
900 336.48
1000 321.974
1100 318.831
1200 302.157
1300 306.7
1400 305.517
1500 307.085
1600 311.436
1700 293.513
1800 297.039
1900 299.068
2000 311.31
2100 297.718
2200 302.625
2300 298.233
2400 305.776
2500 312.689
2600 305.65
2700 307.777
2800 295.429
2900 295.744
3000 288.761
3100 298.745
3200 296.255
3300 289.705
3400 286.639
3500 302.338
3600 304.249
3700 292.284
3800 298.106
3900 301.826
4000 304.078
4100 302.172
4200 300.491
4300 306.699
4400 305.169
4500 295.478
4600 300.03
4700 296.582
4800 314.085
4900 300.498
5000 290.591
5100 301.402
5200 304.221
5300 293.19
5400 302.906
5500 288.812
5600 293.374
5700 294.428
5800 307.766
5900 309.079
6000 301.888
6100 301.861
6200 300.597
6300 305.028
6400 298.426
6500 305.554
6600 293.683
6700 296.145
6800 295.75
6900 297.792
7000 304.876
7100 310.337
7200 315.403
7300 300.796
7400 296.385
7500 305.234
7600 294.713
7700 289.863
7800 302.827
7900 308.506
8000 294.689
8100 310.113
8200 294.439
8300 305.356
8400 291.194
8500 298.208
8600 298.059
8700 299.639
8800 302.415
8900 302.706
9000 301.235
9100 297.454
9200 307.426
9300 294.378
9400 299.546
9500 308.481
9600 289.884
9700 309.394
9800 302.709
9900 315.188
10000 294.322
